Survey Year,sample_definition,Variable,Category,Count,Percentage,Missing N,Missing %
2006,full_sample,EXP_MEDICAL_EXPENDITURE,"2,000-2,999 元",601,0.11378265808405907,731,0.12156993181440214
2006,full_sample,EXP_MEDICAL_EXPENDITURE,"20,000-29,999 元",23,0.004354411207875805,731,0.12156993181440214
2006,full_sample,EXP_MEDICAL_EXPENDITURE,"3,000-3,999 元",366,0.0692919348731541,731,0.12156993181440214
2006,full_sample,EXP_MEDICAL_EXPENDITURE,"30,000 元及以上，請記錄________元",7,0.0013252555850056798,731,0.12156993181440214
2006,full_sample,EXP_MEDICAL_EXPENDITURE,"4,000-4,999 元",210,0.03975766755017039,731,0.12156993181440214
2006,full_sample,EXP_MEDICAL_EXPENDITURE,"5,000-6,999 元",341,0.06455887921241954,731,0.12156993181440214
2006,full_sample,EXP_MEDICAL_EXPENDITURE,"7,000-9,999 元",335,0.06342294585384324,731,0.12156993181440214
2006,full_sample,EXP_MEDICAL_EXPENDITURE,999元及以下,1829,0.34627035213934115,731,0.12156993181440214
2006,full_sample,EXP_MEDICAL_EXPENDITURE,沒有這項支出,444,0.08405906853464597,731,0.12156993181440214
2006,full_sample,EXP_OTHER_EXPENDITURE,"1,000-1,999元",556,0.09246632296690505,0,0
2006,full_sample,EXP_OTHER_EXPENDITURE,"10,000-14,999元",8,0.0013304506901712955,0,0
2006,full_sample,EXP_OTHER_EXPENDITURE,"15,000-19,999元",1,1.6630633627141194e-4,0,0
2006,full_sample,EXP_OTHER_EXPENDITURE,"2,000-2,999元",285,0.0473973058373524,0,0
2006,full_sample,EXP_OTHER_EXPENDITURE,"20,000-29,999元",1,1.6630633627141194e-4,0,0
2006,full_sample,EXP_OTHER_EXPENDITURE,"3,000-3,999元",83,0.013803425910527191,0,0
2006,full_sample,EXP_OTHER_EXPENDITURE,"4,000-4,999元",47,0.007816397804756361,0,0
2006,full_sample,EXP_OTHER_EXPENDITURE,"5,000-6,999元",30,0.004989190088142358,0,0
2006,full_sample,EXP_OTHER_EXPENDITURE,"7,000-9,999元",12,0.0019956760352569432,0,0
2006,full_sample,EXP_OTHER_EXPENDITURE,999元及以下,1067,0.17744886080159655,0,0
2006,full_sample,EXP_OTHER_EXPENDITURE,不知道/拒答,168,0.027939464493597205,0,0
2006,full_sample,EXP_OTHER_EXPENDITURE,沒有這項支出,3755,0.6244802926991518,0,0
2006,full_sample,EXP_TAX_INS_GIFT_EXPENDITURE,"1,000-1,999元",730,0.1524008350730689,1223,0.2033926492599368
2006,full_sample,EXP_TAX_INS_GIFT_EXPENDITURE,"10,000-14,999 元",19,0.003966597077244259,1223,0.2033926492599368
2006,full_sample,EXP_TAX_INS_GIFT_EXPENDITURE,"15,000-19,999 元",3,6.263048016701461e-4,1223,0.2033926492599368
2006,full_sample,EXP_TAX_INS_GIFT_EXPENDITURE,"2,000-2,999 元",866,0.18079331941544885,1223,0.2033926492599368
2006,full_sample,EXP_TAX_INS_GIFT_EXPENDITURE,"20,000-29,999 元",1,2.0876826722338206e-4,1223,0.2033926492599368
2006,full_sample,EXP_TAX_INS_GIFT_EXPENDITURE,"3,000-3,999 元",731,0.15260960334029228,1223,0.2033926492599368
2006,full_sample,EXP_TAX_INS_GIFT_EXPENDITURE,"4,000-4,999 元",532,0.11106471816283925,1223,0.2033926492599368
2006,full_sample,EXP_TAX_INS_GIFT_EXPENDITURE,"5,000-6,999 元",804,0.16784968684759916,1223,0.2033926492599368
2006,full_sample,EXP_TAX_INS_GIFT_EXPENDITURE,"7,000-9,999 元",403,0.08413361169102296,1223,0.2033926492599368
2006,full_sample,EXP_TAX_INS_GIFT_EXPENDITURE,999 元及以下,537,0.11210855949895616,1223,0.2033926492599368
2006,full_sample,EXP_TAX_INS_GIFT_EXPENDITURE,沒有這項支出,164,0.03423799582463465,1223,0.2033926492599368
2006,full_sample,EXP_TRANSPORT_COMM_EXPENDITURE,"1,000-1,999 元",775,0.14322676030308631,602,0.10011641443538999
2006,full_sample,EXP_TRANSPORT_COMM_EXPENDITURE,"10,000-14,999 元",415,0.07669562003326558,602,0.10011641443538999
2006,full_sample,EXP_TRANSPORT_COMM_EXPENDITURE,"15,000-19,999 元",130,0.024025133986324155,602,0.10011641443538999
2006,full_sample,EXP_TRANSPORT_COMM_EXPENDITURE,"2,000-2,999 元",764,0.14119386435039735,602,0.10011641443538999
