"DATA_Y","variable","category","n","share"
2002,"COUNTY","大雅鄉",59,0.00485756627696361
2002,"COUNTY","太平市",52,0.00428124485427301
2002,"COUNTY","太麻里",174,0.014325703935452
2002,"COUNTY","宜蘭市",53,0.00436357648608595
2002,"COUNTY","富里鄉",54,0.0044459081178989
2002,"COUNTY","尖石鄉",194,0.0159723365717109
2002,"COUNTY","屏東市",65,0.00535155606784126
2002,"COUNTY","岡山鎮",54,0.0044459081178989
2002,"COUNTY","平鎮市",52,0.00428124485427301
2002,"COUNTY","延平鄉",84,0.00691585707228717
2002,"COUNTY","彰化市",52,0.00428124485427301
2002,"COUNTY","復興鄉",265,0.0218178824304298
2002,"COUNTY","恆春鎮",59,0.00485756627696361
2002,"COUNTY","成功鎮",272,0.0223942038531204
2002,"COUNTY","新城鄉",149,0.0122674131401284
2002,"COUNTY","新埔鎮芎林鄉橫山鄉",52,0.00428124485427301
2002,"COUNTY","新店市",52,0.00428124485427301
2002,"COUNTY","新莊市",54,0.0044459081178989
2002,"COUNTY","春日鄉",113,0.00930347439486251
2002,"COUNTY","東勢鎮",54,0.0044459081178989
2002,"COUNTY","東河鄉",162,0.0133377243536967
2002,"COUNTY","板橋市",52,0.00428124485427301
2002,"COUNTY","枋寮鄉",54,0.0044459081178989
2002,"COUNTY","林口鄉",52,0.00428124485427301
2002,"COUNTY","林園鄉鳥松鄉",47,0.0038695866952083
2002,"COUNTY","桃園市",53,0.00436357648608595
2002,"COUNTY","桃源鄉",101,0.0083154948131072
2002,"COUNTY","梧棲鎮",63,0.00518689280421538
2002,"COUNTY","楊梅鎮",53,0.00436357648608595
2002,"COUNTY","樹林市",52,0.00428124485427301
2002,"COUNTY","水里鄉草屯鎮",52,0.00428124485427301
2002,"COUNTY","永和市",43,0.00354026016795653
2002,"COUNTY","永康市",59,0.00485756627696361
2002,"COUNTY","汐止市",52,0.00428124485427301
2002,"COUNTY","池上鄉",67,0.00551621933146715
2002,"COUNTY","泰安鄉",112,0.00922114276304956
2002,"COUNTY","泰山鄉",52,0.00428124485427301
2002,"COUNTY","泰武鄉",91,0.00749217849497777
2002,"COUNTY","海端鄉",97,0.00798616828585543
2002,"COUNTY","淡水鎮",52,0.00428124485427301
2002,"COUNTY","清水鎮沙鹿鎮",53,0.00436357648608595
2002,"COUNTY","湖口鄉",49,0.00403424995883418
2002,"COUNTY","滿州鄉",70,0.00576321422690598
2002,"COUNTY","潭子鄉",51,0.00419891322246007
2002,"COUNTY","潮州鎮",52,0.00428124485427301
2002,"COUNTY","烏來鄉",60,0.00493989790877655
2002,"COUNTY","烏日鄉霧峰鄉",40,0.0032932652725177
2002,"COUNTY","牡丹鄉",155,0.0127614029310061
2002,"COUNTY","獅子鄉",128,0.0105384488720566
2002,"COUNTY","獅潭鄉",5,0.000411658159064713
2002,"COUNTY","玉里鎮",237,0.0195125967396674
2002,"COUNTY","瑞穗鄉",145,0.0119380866128767
2002,"COUNTY","瑞芳鎮",52,0.00428124485427301
2002,"COUNTY","瑪家鄉",164,0.0135023876173226
2002,"COUNTY","神岡鄉",51,0.00419891322246007
2002,"COUNTY","秀林鄉",353,0.0290630660299687
2002,"COUNTY","竹北市新豐鄉",57,0.00469290301333772
2002,"COUNTY","竹南鎮後龍鎮造橋鄉",52,0.00428124485427301
2002,"COUNTY","竹東鎮",52,0.00428124485427301
2002,"COUNTY","羅東鎮",51,0.00419891322246007
2002,"COUNTY","臺東市",542,0.0446237444426149
2002,"COUNTY","花蓮市",271,0.0223118722213074
2002,"COUNTY","苗栗市",53,0.00436357648608595
2002,"COUNTY","茂林鄉",46,0.00378725506339536
2002,"COUNTY","萬巒鄉",60,0.00493989790877655
2002,"COUNTY","萬榮鄉",190,0.0156430100444591
2002,"COUNTY","蘆洲市",52,0.00428124485427301
2002,"COUNTY","蘆竹鄉",52,0.00428124485427301
2002,"COUNTY","蘇澳鎮",52,0.00428124485427301
2002,"COUNTY","蘭嶼鄉",83,0.00683352544047423
2002,"COUNTY","西屯區",52,0.00428124485427301
2002,"COUNTY","觀音鄉",51,0.00419891322246007
2002,"COUNTY","豐原市",52,0.00428124485427301
2002,"COUNTY","豐濱鄉",131,0.0107854437674955
2002,"COUNTY","達仁鄉",124,0.0102091223448049
2002,"COUNTY","金峰鄉",82,0.00675119380866129
2002,"COUNTY","長濱鄉",153,0.0125967396673802
2002,"COUNTY","關山鎮",69,0.00568088259509303
2002,"COUNTY","關西鎮",26,0.00214062242713651
2002,"COUNTY","阿里山",105,0.00864482134035897
2002,"COUNTY","霧臺鄉",79,0.00650419891322246
2002,"COUNTY","頭份鎮",52,0.00428124485427301
2002,"COUNTY","頭城礁溪員山鄉",44,0.00362259179976947
2002,"COUNTY","魚池鄉",18,0.00148196937263297
2002,"COUNTY","鳳山市",53,0.00436357648608595
2002,"COUNTY","鳳林鎮",65,0.00535155606784126
2002,"COUNTY","鶯歌鎮",53,0.00436357648608595
2002,"COUNTY","鹿野鄉",78,0.00642186728140952
2002,"COUNTY","龍井鄉",26,0.00214062242713651
2002,"COUNTY","龍潭鄉",55,0.00452823974971184
2002,"COUNTY","龜山鄉",52,0.00428124485427301
2002,"COUNTY_MAPPING_STATUS","ambiguous_combined_townships",664,0.0506367726683444
2002,"COUNTY_MAPPING_STATUS","missing",967,0.0737436132082666
2002,"COUNTY_MAPPING_STATUS","single_township",11482,0.875619614123389
2002,"COUNTY_ORIGINAL","三地門",181,0.0149020253581426
2002,"COUNTY_ORIGINAL","三峽鎮",52,0.00428124485427301
2002,"COUNTY_ORIGINAL","三民鄉",67,0.00551621933146715
2002,"COUNTY_ORIGINAL","三重市",52,0.00428124485427301
2002,"COUNTY_ORIGINAL","中和市",55,0.00452823974971184
2002,"COUNTY_ORIGINAL","中壢市",55,0.00452823974971184
2002,"COUNTY_ORIGINAL","五峰鄉",138,0.0113617651901861
2002,"COUNTY_ORIGINAL","五結冬山鄉",53,0.00436357648608595
2002,"COUNTY_ORIGINAL","五股鄉",50,0.00411658159064713
2002,"COUNTY_ORIGINAL","仁愛鄉",337,0.0277457599209616
2002,"COUNTY_ORIGINAL","來義鄉",190,0.0156430100444591
2002,"COUNTY_ORIGINAL","信義鄉",231,0.0190186069487897
2002,"COUNTY_ORIGINAL","光復鄉",213,0.0175366375761568
2002,"COUNTY_ORIGINAL","內埔鄉",52,0.00428124485427301
2002,"COUNTY_ORIGINAL","八德市",52,0.00428124485427301
2002,"COUNTY_ORIGINAL","八里鄉三芝鄉",52,0.00428124485427301
2002,"COUNTY_ORIGINAL","六龜鄉美濃鎮",57,0.00469290301333772
2002,"COUNTY_ORIGINAL","北區",46,0.00378725506339536
2002,"COUNTY_ORIGINAL","北屯區",46,0.00378725506339536
2002,"COUNTY_ORIGINAL","卑南鄉",185,0.0152313518853944
2002,"COUNTY_ORIGINAL","卓溪鄉",140,0.011526428453812
2002,"COUNTY_ORIGINAL","南區東區",53,0.00436357648608595
2002,"COUNTY_ORIGINAL","南屯區",55,0.00452823974971184
2002,"COUNTY_ORIGINAL","南庄鄉",63,0.00518689280421538
2002,"COUNTY_ORIGINAL","南投市",52,0.00428124485427301
2002,"COUNTY_ORIGINAL","南澳鄉",138,0.0113617651901861
2002,"COUNTY_ORIGINAL","台東市",542,0.0446237444426149
2002,"COUNTY_ORIGINAL","吉安鄉",380,0.0312860200889182
2002,"COUNTY_ORIGINAL","后里鄉外埔鄉",52,0.00428124485427301
2002,"COUNTY_ORIGINAL","和平鄉",146,0.0120204182446896
2002,"COUNTY_ORIGINAL","土城市",53,0.00436357648608595
2002,"COUNTY_ORIGINAL","埔里鎮",55,0.00452823974971184
2002,"COUNTY_ORIGINAL","壽豐鄉",179,0.0147373620945167
2002,"COUNTY_ORIGINAL","大同鄉",126,0.0103737856084308
2002,"COUNTY_ORIGINAL","大園鄉",53,0.00436357648608595
2002,"COUNTY_ORIGINAL","大寮鄉",56,0.00461057138152478
2002,"COUNTY_ORIGINAL","大樹鄉仁武鄉",53,0.00436357648608595
2002,"COUNTY_ORIGINAL","大武鄉",115,0.00946813765848839
2002,"COUNTY_ORIGINAL","大溪鎮",57,0.00469290301333772
2002,"COUNTY_ORIGINAL","大肚鄉",62,0.00510456117240244
2002,"COUNTY_ORIGINAL","大里市",67,0.00551621933146715
2002,"COUNTY_ORIGINAL","大雅鄉",59,0.00485756627696361
2002,"COUNTY_ORIGINAL","太平市",52,0.00428124485427301
2002,"COUNTY_ORIGINAL","太麻里",174,0.014325703935452
2002,"COUNTY_ORIGINAL","宜蘭市",53,0.00436357648608595
2002,"COUNTY_ORIGINAL","富里鄉",54,0.0044459081178989
2002,"COUNTY_ORIGINAL","尖石鄉",194,0.0159723365717109
2002,"COUNTY_ORIGINAL","屏東市",65,0.00535155606784126
2002,"COUNTY_ORIGINAL","岡山鎮",54,0.0044459081178989
2002,"COUNTY_ORIGINAL","平鎮市",52,0.00428124485427301
2002,"COUNTY_ORIGINAL","延平鄉",84,0.00691585707228717
2002,"COUNTY_ORIGINAL","彰化市",52,0.00428124485427301
2002,"COUNTY_ORIGINAL","復興鄉",265,0.0218178824304298
2002,"COUNTY_ORIGINAL","恆春鎮",59,0.00485756627696361
2002,"COUNTY_ORIGINAL","成功鎮",272,0.0223942038531204
2002,"COUNTY_ORIGINAL","新城鄉",149,0.0122674131401284
2002,"COUNTY_ORIGINAL","新埔鎮芎林鄉橫山鄉",52,0.00428124485427301
2002,"COUNTY_ORIGINAL","新店市",52,0.00428124485427301
2002,"COUNTY_ORIGINAL","新莊市",54,0.0044459081178989
2002,"COUNTY_ORIGINAL","春日鄉",113,0.00930347439486251
2002,"COUNTY_ORIGINAL","東勢鎮",54,0.0044459081178989
2002,"COUNTY_ORIGINAL","東河鄉",162,0.0133377243536967
2002,"COUNTY_ORIGINAL","板橋市",52,0.00428124485427301
2002,"COUNTY_ORIGINAL","枋寮鄉",54,0.0044459081178989
2002,"COUNTY_ORIGINAL","林口鄉",52,0.00428124485427301
2002,"COUNTY_ORIGINAL","林園鄉鳥松鄉",47,0.0038695866952083
2002,"COUNTY_ORIGINAL","桃園市",53,0.00436357648608595
2002,"COUNTY_ORIGINAL","桃源鄉",101,0.0083154948131072
2002,"COUNTY_ORIGINAL","梧棲鎮",63,0.00518689280421538
2002,"COUNTY_ORIGINAL","楊梅鎮",53,0.00436357648608595
2002,"COUNTY_ORIGINAL","樹林市",52,0.00428124485427301
2002,"COUNTY_ORIGINAL","水里鄉草屯鎮",52,0.00428124485427301
2002,"COUNTY_ORIGINAL","永和市",43,0.00354026016795653
2002,"COUNTY_ORIGINAL","永康市",59,0.00485756627696361
2002,"COUNTY_ORIGINAL","汐止市",52,0.00428124485427301
2002,"COUNTY_ORIGINAL","池上鄉",67,0.00551621933146715
2002,"COUNTY_ORIGINAL","泰安鄉",112,0.00922114276304956
2002,"COUNTY_ORIGINAL","泰山鄉",52,0.00428124485427301
2002,"COUNTY_ORIGINAL","泰武鄉",91,0.00749217849497777
2002,"COUNTY_ORIGINAL","海端鄉",97,0.00798616828585543
2002,"COUNTY_ORIGINAL","淡水鎮",52,0.00428124485427301
2002,"COUNTY_ORIGINAL","清水鎮沙鹿鎮",53,0.00436357648608595
2002,"COUNTY_ORIGINAL","湖口鄉",49,0.00403424995883418
2002,"COUNTY_ORIGINAL","滿州鄉",70,0.00576321422690598
2002,"COUNTY_ORIGINAL","潭子鄉",51,0.00419891322246007
2002,"COUNTY_ORIGINAL","潮州鎮",52,0.00428124485427301
2002,"COUNTY_ORIGINAL","烏來鄉",60,0.00493989790877655
2002,"COUNTY_ORIGINAL","烏日鄉霧峰鄉",40,0.0032932652725177
2002,"COUNTY_ORIGINAL","牡丹鄉",155,0.0127614029310061
2002,"COUNTY_ORIGINAL","獅子鄉",128,0.0105384488720566
2002,"COUNTY_ORIGINAL","獅潭鄉",5,0.000411658159064713
2002,"COUNTY_ORIGINAL","玉里鎮",237,0.0195125967396674
2002,"COUNTY_ORIGINAL","瑞穗鄉",145,0.0119380866128767
2002,"COUNTY_ORIGINAL","瑞芳鎮",52,0.00428124485427301
2002,"COUNTY_ORIGINAL","瑪家鄉",164,0.0135023876173226
2002,"COUNTY_ORIGINAL","神岡鄉",51,0.00419891322246007
2002,"COUNTY_ORIGINAL","秀林鄉",353,0.0290630660299687
2002,"COUNTY_ORIGINAL","竹北市新豐鄉",57,0.00469290301333772
2002,"COUNTY_ORIGINAL","竹南鎮後龍鎮造橋鄉",52,0.00428124485427301
2002,"COUNTY_ORIGINAL","竹東鎮",52,0.00428124485427301
2002,"COUNTY_ORIGINAL","羅東鎮",51,0.00419891322246007
2002,"COUNTY_ORIGINAL","花蓮市",271,0.0223118722213074
2002,"COUNTY_ORIGINAL","苗栗市",53,0.00436357648608595
2002,"COUNTY_ORIGINAL","茂林鄉",46,0.00378725506339536
2002,"COUNTY_ORIGINAL","萬巒鄉",60,0.00493989790877655
2002,"COUNTY_ORIGINAL","萬榮鄉",190,0.0156430100444591
2002,"COUNTY_ORIGINAL","蘆洲市",52,0.00428124485427301
2002,"COUNTY_ORIGINAL","蘆竹鄉",52,0.00428124485427301
2002,"COUNTY_ORIGINAL","蘇澳鎮",52,0.00428124485427301
2002,"COUNTY_ORIGINAL","蘭嶼鄉",83,0.00683352544047423
2002,"COUNTY_ORIGINAL","西屯區",52,0.00428124485427301
2002,"COUNTY_ORIGINAL","觀音鄉",51,0.00419891322246007
2002,"COUNTY_ORIGINAL","豐原市",52,0.00428124485427301
2002,"COUNTY_ORIGINAL","豐濱鄉",131,0.0107854437674955
2002,"COUNTY_ORIGINAL","達仁鄉",124,0.0102091223448049
2002,"COUNTY_ORIGINAL","金峰鄉",82,0.00675119380866129
