"DATA_Y","CITY","COUNTY","variable","non_missing_n","mean","median","sd","min","max"
2002,"宜蘭縣","羅東鎮","N_INDI_55PLUS",0,,,,,
2002,"宜蘭縣","羅東鎮","N_INDI_55_64",0,,,,,
2002,"宜蘭縣","羅東鎮","N_INDI_65PLUS",0,,,,,
2002,"宜蘭縣","羅東鎮","N_INDI_7_15",0,,,,,
2002,"宜蘭縣","羅東鎮","N_INDI_UNDER6",0,,,,,
2002,"宜蘭縣","蘇澳鎮","N_FAMILY",52,5.03846153846154,5,1.75969625789803,2,10
2002,"宜蘭縣","蘇澳鎮","N_INDI",52,4.30769230769231,4,2.20105555371233,0,10
2002,"宜蘭縣","蘇澳鎮","N_INDI_16_54",0,,,,,
2002,"宜蘭縣","蘇澳鎮","N_INDI_55PLUS",0,,,,,
2002,"宜蘭縣","蘇澳鎮","N_INDI_55_64",0,,,,,
2002,"宜蘭縣","蘇澳鎮","N_INDI_65PLUS",0,,,,,
2002,"宜蘭縣","蘇澳鎮","N_INDI_7_15",0,,,,,
2002,"宜蘭縣","蘇澳鎮","N_INDI_UNDER6",0,,,,,
2002,"宜蘭縣","頭城礁溪員山鄉","N_FAMILY",44,4.90909090909091,5,1.68188960479163,1,9
2002,"宜蘭縣","頭城礁溪員山鄉","N_INDI",44,2.84090909090909,3,1.7110201202816,1,6
2002,"宜蘭縣","頭城礁溪員山鄉","N_INDI_16_54",0,,,,,
2002,"宜蘭縣","頭城礁溪員山鄉","N_INDI_55PLUS",0,,,,,
2002,"宜蘭縣","頭城礁溪員山鄉","N_INDI_55_64",0,,,,,
2002,"宜蘭縣","頭城礁溪員山鄉","N_INDI_65PLUS",0,,,,,
2002,"宜蘭縣","頭城礁溪員山鄉","N_INDI_7_15",0,,,,,
2002,"宜蘭縣","頭城礁溪員山鄉","N_INDI_UNDER6",0,,,,,
2002,"屏東縣","三地門","N_FAMILY",181,4.67955801104972,4,2.5137558935683,1,16
2002,"屏東縣","三地門","N_INDI",181,4.43646408839779,4,2.49278886325311,1,15
2002,"屏東縣","三地門","N_INDI_16_54",0,,,,,
2002,"屏東縣","三地門","N_INDI_55PLUS",0,,,,,
2002,"屏東縣","三地門","N_INDI_55_64",0,,,,,
2002,"屏東縣","三地門","N_INDI_65PLUS",0,,,,,
2002,"屏東縣","三地門","N_INDI_7_15",0,,,,,
2002,"屏東縣","三地門","N_INDI_UNDER6",0,,,,,
2002,"屏東縣","來義鄉","N_FAMILY",190,5.00526315789474,4,3.10571647097838,1,20
2002,"屏東縣","來義鄉","N_INDI",190,4.81052631578947,4,3.11947199725079,1,20
2002,"屏東縣","來義鄉","N_INDI_16_54",0,,,,,
2002,"屏東縣","來義鄉","N_INDI_55PLUS",0,,,,,
2002,"屏東縣","來義鄉","N_INDI_55_64",0,,,,,
2002,"屏東縣","來義鄉","N_INDI_65PLUS",0,,,,,
2002,"屏東縣","來義鄉","N_INDI_7_15",0,,,,,
2002,"屏東縣","來義鄉","N_INDI_UNDER6",0,,,,,
2002,"屏東縣","內埔鄉","N_FAMILY",52,5.15384615384615,5,2.07113320676894,1,10
2002,"屏東縣","內埔鄉","N_INDI",52,3.78846153846154,4,2.30376110605805,1,10
2002,"屏東縣","內埔鄉","N_INDI_16_54",0,,,,,
2002,"屏東縣","內埔鄉","N_INDI_55PLUS",0,,,,,
2002,"屏東縣","內埔鄉","N_INDI_55_64",0,,,,,
2002,"屏東縣","內埔鄉","N_INDI_65PLUS",0,,,,,
2002,"屏東縣","內埔鄉","N_INDI_7_15",0,,,,,
2002,"屏東縣","內埔鄉","N_INDI_UNDER6",0,,,,,
2002,"屏東縣","屏東市","N_FAMILY",65,4.43076923076923,4,2.06131959228511,1,12
2002,"屏東縣","屏東市","N_INDI",65,4.03076923076923,4,2.33833027212549,1,12
2002,"屏東縣","屏東市","N_INDI_16_54",0,,,,,
2002,"屏東縣","屏東市","N_INDI_55PLUS",0,,,,,
2002,"屏東縣","屏東市","N_INDI_55_64",0,,,,,
2002,"屏東縣","屏東市","N_INDI_65PLUS",0,,,,,
2002,"屏東縣","屏東市","N_INDI_7_15",0,,,,,
2002,"屏東縣","屏東市","N_INDI_UNDER6",0,,,,,
2002,"屏東縣","恆春鎮","N_FAMILY",59,4.59322033898305,5,1.77257502217378,1,11
2002,"屏東縣","恆春鎮","N_INDI",59,3.33898305084746,3,2.09770128286216,1,11
2002,"屏東縣","恆春鎮","N_INDI_16_54",0,,,,,
2002,"屏東縣","恆春鎮","N_INDI_55PLUS",0,,,,,
2002,"屏東縣","恆春鎮","N_INDI_55_64",0,,,,,
2002,"屏東縣","恆春鎮","N_INDI_65PLUS",0,,,,,
2002,"屏東縣","恆春鎮","N_INDI_7_15",0,,,,,
2002,"屏東縣","恆春鎮","N_INDI_UNDER6",0,,,,,
2002,"屏東縣","春日鄉","N_FAMILY",113,5.68141592920354,5,2.94674604656701,1,15
2002,"屏東縣","春日鄉","N_INDI",113,5.45132743362832,5,2.8283991889737,1,14
2002,"屏東縣","春日鄉","N_INDI_16_54",0,,,,,
2002,"屏東縣","春日鄉","N_INDI_55PLUS",0,,,,,
2002,"屏東縣","春日鄉","N_INDI_55_64",0,,,,,
2002,"屏東縣","春日鄉","N_INDI_65PLUS",0,,,,,
2002,"屏東縣","春日鄉","N_INDI_7_15",0,,,,,
2002,"屏東縣","春日鄉","N_INDI_UNDER6",0,,,,,
2002,"屏東縣","枋寮鄉","N_FAMILY",54,4.59259259259259,4,2.60274541929862,1,14
2002,"屏東縣","枋寮鄉","N_INDI",54,3.24074074074074,3,1.94194208554012,1,8
2002,"屏東縣","枋寮鄉","N_INDI_16_54",0,,,,,
2002,"屏東縣","枋寮鄉","N_INDI_55PLUS",0,,,,,
2002,"屏東縣","枋寮鄉","N_INDI_55_64",0,,,,,
2002,"屏東縣","枋寮鄉","N_INDI_65PLUS",0,,,,,
2002,"屏東縣","枋寮鄉","N_INDI_7_15",0,,,,,
2002,"屏東縣","枋寮鄉","N_INDI_UNDER6",0,,,,,
2002,"屏東縣","泰武鄉","N_FAMILY",91,5.82417582417582,5,3.2406906211602,1,17
2002,"屏東縣","泰武鄉","N_INDI",91,5.69230769230769,5,3.30888469861341,1,17
2002,"屏東縣","泰武鄉","N_INDI_16_54",0,,,,,
2002,"屏東縣","泰武鄉","N_INDI_55PLUS",0,,,,,
