variable,103_present,106_present,106-_present,91-1_label,91-1_type,91-1_present,91-2_label,91-2_type,91-2_present,95_present,99_present,95_label,95_type,103_label,103_type,106_label,106_type,106-_label,106-_type,99_label,99_type,years_count
id,0,0,0,樣本編號,numeric,1,樣本編號,numeric,1,1,1,流水編號,numeric,,,,,,,流水編,numeric,4
j4,1,1,1,,,0,,,0,0,1,,,J4.請問您全家每個月用在支付「看病就醫、繳醫療保險費、購買醫療用品/設備等」的費用是,haven_labelled,J4.經濟戶長個人每個月的「存款利息、跟會利息、股票利息、各種投資利息」收入總共是多,haven_labelled,J4.經濟戶長個人每個月的「存款利息、跟會利息、股票利息、各種投資利息」收入總共是多,haven_labelled,J4.請問您全家每個月用在支付「看病就醫、繳保險費、購買醫療設備等」的費用是多少？【,haven_labelled,4
g4,1,1,1,,,0,,,0,0,1,,,G4.請問您現在住的房子樓地板面積是多少?__坪,numeric,G4.經濟戶長需不需要負責家計?,haven_labelled,G4.經濟戶長需不需要負責家計?,haven_labelled,G4.請問您個人有沒有信用貸款、車貸、信用卡、現金卡等的貸款呢？,haven_labelled,4
j2,1,1,1,,,0,,,0,0,1,,,J2.請問您全家每個月用在支付「房租、水電瓦斯、住宅裝修、建築物保險等」的支出?【過去,haven_labelled,J2.經濟戶長個人每個月接受「政府津貼補助、各種社會保險、私人保險受益」收入總共是多,haven_labelled,J2.經濟戶長個人每個月接受「政府津貼補助、各種社會保險、私人保險受益」收入總共是多,haven_labelled,J2.請問您全家每個月用在支付「房租、水電瓦斯、住宅裝修等」的費用是多少？【過去ㄧ年,haven_labelled,4
f1,1,1,1,,,0,,,0,0,1,,,F1.請問目前與您住在一起共同生活的【包括自己且不限原住民】有幾個人?,haven_labelled,F1.目前與您「同戶籍」且「共同生活」的有幾個人(包括自己且不限原住民)?,haven_labelled,F1.目前與您「同戶籍」且「共同生活」的有幾個人(包括自己且不限原住民)?,haven_labelled,F1.請問您們家是不是符合地方政府列冊登記有案的低收入戶？,haven_labelled,4
j3,1,1,1,,,0,,,0,0,1,,,J3.請問您全家每個月用在支付「上下班上下學通勤、搭乘交通工具、汽機車保養/油錢、汽機,haven_labelled,J3.經濟戶長個人每個月「紅白包禮金、私人發給救濟金/慰問金/獎助學金、向私人借住房屋,haven_labelled,J3.經濟戶長個人每個月「紅白包禮金、私人發給救濟金/慰問金/獎助學金、向私人借住房屋,haven_labelled,J3.請問您全家每個月用在支付「上下班上下學通勤、搭乘交通工具、汽機車保養油錢、市內,haven_labelled,4
g3,1,1,1,,,0,,,0,0,1,,,G3.請問您現在住的房子是什麼時候購買/搭建的?,haven_labelled,G3.經濟戶長教育程度?,haven_labelled,G3.經濟戶長教育程度?,haven_labelled,G3.請問您們家目前有沒有房屋貸款？,haven_labelled,4
i3,1,1,1,,,0,,,0,0,1,,,I3.包含您本人，全家每個月的「工作薪水、兼差薪水、加班費、退休金，或是從事農林漁牧,haven_labelled,I3.經濟戶長有沒有向親友、雇主、店家等借錢、預支薪水或賒帳等情形?,haven_labelled,I3.經濟戶長有沒有向親友、雇主、店家等借錢、預支薪水或賒帳等情形?,haven_labelled,I3.包含您本人，全家每個月接受「政府發給津貼、補助、各種保險」總收入是多少？【過去,haven_labelled,4
g2,1,1,1,,,0,,,0,0,1,,,G2.請問您每個月的房屋租金是多少?[回答完跳答G6],haven_labelled,G2.經濟戶長今年幾歲?,haven_labelled,G2.經濟戶長今年幾歲?,haven_labelled,G2.若房子為租賃者（G1回答2、3者），請問您每個月的房屋租金是多少？,haven_labelled,4
f2,1,1,1,,,0,,,0,0,1,,,F2.請問您的配偶屬於以下那種身分?,haven_labelled,F2.目前與您「同戶籍」，但「沒有住在一起」、「有經濟依賴關係」的有幾個人?,haven_labelled,F2.目前與您「同戶籍」，但「沒有住在一起」、「有經濟依賴關係」的有幾個人?,haven_labelled,F2.請問目前與您住在一起共同生活的【包括自己且不限原住民】有幾個人？,numeric,4
k2,1,1,1,,,0,,,0,0,1,,,K2.請問您個人每個月可以儲蓄(存錢)的金額是多少?,haven_labelled,K2.經濟戶長每個月可以儲蓄(存錢)的金額是多少?,haven_labelled,K2.經濟戶長每個月可以儲蓄(存錢)的金額是多少?,haven_labelled,K2.請問您個人每個月可以儲蓄（存錢）的金額是多少？,haven_labelled,4
h5,1,1,1,,,0,,,0,0,1,,,H5.請問您個人每個月的「房屋、土地出租租金」收入總共是多少?,haven_labelled,H5.您現在住的房子如果出租的話，租金會是多少?__元,numeric,H5.您現在住的房子如果出租的話，租金會是多少?__元,numeric,H5.除了以上這些收入以外，請問您個人每個月「其他」收入總共是多少？,haven_labelled,4
i1,1,1,1,,,0,,,0,0,1,,,I1.除了您本人以外，家裡有沒有「其他家人」有固定收入?,haven_labelled,I1.經濟戶長有沒有信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等消費性貸款呢?,haven_labelled,I1.經濟戶長有沒有信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等消費性貸款呢?,haven_labelled,I1.除了您本人以外，家裡有沒有其他具有原住民身分的家人有固定收入？,haven_labelled,4
h4,1,1,1,,,0,,,0,0,1,,,H4.請問您個人每個月的「存款利息、跟會利息、股票利息、各種投資利息」收入總共是多少?,haven_labelled,H4.您現在住的房子樓地板面積是多少?__坪,numeric,H4.您現在住的房子樓地板面積是多少?__坪,numeric,H4.請問您個人每個月的「房屋、土地出租租金」收入總共是多少？,haven_labelled,4
w,0,1,1,,,0,樣本權數,numeric,1,0,1,,,,,樣本權數,numeric,樣本權數,numeric,推估權數,numeric,4
m2,1,1,1,,,0,,,0,0,1,,,M2.請問您家裡有沒有連上網際網路?,haven_labelled,M2.您全家每個月用在支付「房租、水電瓦斯、住宅裝修、建築物保險等」的費用是多少?【過,haven_labelled,M2.您全家每個月用在支付「房租、水電瓦斯、住宅裝修、建築物保險等」的費用是多少?【過,haven_labelled,M2.請問您所屬的族別？,haven_labelled,4
h3,1,1,1,,,0,,,0,0,1,,,H3.請問您個人每個月「紅白包禮金、私人發給救濟金/慰問金、向私人借住房屋省下的房租」,haven_labelled,H3.您現在住的房子是什麼時候購買/搭建的?民國__年,numeric,H3.您現在住的房子是什麼時候購買/搭建的?民國__年,numeric,H3.請問您個人每個月的「利息、股票買賣、跟會標會、各種投資」收入總共是多少？【過去,haven_labelled,4
no,1,1,1,,,0,,,0,0,1,,,流水編號,numeric,流水編,numeric,流水編,numeric,樣本戶號,numeric,4
h2,1,1,1,,,0,,,0,0,1,,,H2.請問您個人每個月接受「政府津貼補助、各種社會保險、私人保險」收入總共是多少?,haven_labelled,H2.若房子為租賃/配住者(H1回答3、4、5者)，您每個月的房屋租金是多少?[回答完跳答I部分],haven_labelled,H2.若房子為租賃/配住者(H1回答3、4、5者)，您每個月的房屋租金是多少?[回答完跳答I部分],haven_labelled,H2.請問您個人每個月接受「政府津貼補助、各種保險」收入總共是多少？,haven_labelled,4
k1_1,1,1,1,,,0,,,0,0,1,,,K1.請問您個人目前有從事以下哪些投資嗎?(可複選)投資一,haven_labelled,K1-1.經濟戶長每個月用於投資的金額是多少?,haven_labelled,K1-1.經濟戶長每個月用於投資的金額是多少?,haven_labelled,K1.請問您個人目前有從事以下哪些投資嗎？(可複選),haven_labelled,4
h1,1,1,1,,,0,,,0,0,1,,,H1.請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農林漁業或自己做,haven_labelled,H1.您現在住的房子是屬於誰的?,haven_labelled,H1.您現在住的房子是屬於誰的?,haven_labelled,H1.請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農林漁業或自己做,haven_labelled,4
l1,0,1,1,,,0,,,0,0,1,,,,,L1.除了經濟戶長本人以外，家裡有沒有「其他家人」有固定收入?,haven_labelled,L1.除了經濟戶長本人以外，家裡有沒有「其他家人」有固定收入?,haven_labelled,L1.請問您或您的家人最需要政府提供什麼幫忙？,haven_labelled,3
q9,0,0,0,9.請問您的行業是什麼?(以9月15日~9月21日為準),haven_labelled,1,9.請問您的行業是什麼?(以12月15日~12月21日為準),haven_labelled,1,1,0,Q9.請問您有沒有申請創業貸款?,haven_labelled,,,,,,,,,3
l1o,1,1,1,,,0,,,0,0,0,,,L1.請問您或您的家人最需要政府提供什麼幫忙?其他(請說明),character,L1.除了經濟戶長本人以外，家裡有沒有「其他家人」有固定收入?(1)有，共__位,numeric,L1.除了經濟戶長本人以外，家裡有沒有「其他家人」有固定收入?(1)有，共__位,numeric,,,3
q8,0,0,0,8.請問您的職業是什麼?(以9月15日~9月21日為準),haven_labelled,1,8.請問您的職業是什麼?(以12月15日~12月21日為準),haven_labelled,1,1,0,Q8.請問您有沒有信用貸款、汽車貸款、信用卡、現金卡等的貸款呢?,haven_labelled,,,,,,,,,3
n1,1,1,1,,,0,,,0,0,0,,,N1.請問您需不需要負責家計?,haven_labelled,N1.您或您的家人最需要政府提供什麼幫忙?,haven_labelled,N1.您或您的家人最需要政府提供什麼幫忙?,haven_labelled,,,3
f3,0,1,1,,,0,,,0,0,1,,,,,F3.目前與您「不同戶籍」，但「有住在一起」的有幾個人?,haven_labelled,F3.目前與您「不同戶籍」，但「有住在一起」的有幾個人?,haven_labelled,F3.請問您的配偶屬於以下那種身分？,haven_labelled,3
q10,0,0,0,10.請問您主要工作的身分是?,haven_labelled,1,10.請問您主要工作的身分是?,haven_labelled,1,1,0,Q10.請問您主要工作的身分是?,haven_labelled,,,,,,,,,3
g6,1,1,1,,,0,,,0,0,0,,,G6.請問您們家目前有沒有房屋貸款?,haven_labelled,G6.經濟戶長的配偶屬於以下那種身分?,haven_labelled,G6.經濟戶長的配偶屬於以下那種身分?,haven_labelled,,,3
q6,0,0,0,6.請問您的配偶是不是原住民?,haven_labelled,1,6.請問您的配偶是不是原住民?,haven_labelled,1,1,0,Q6.請問您們家目前有沒有房屋貸款?,haven_labelled,,,,,,,,,3
n2,1,1,1,,,0,,,0,0,0,,,N2.請問您所屬的族別?,haven_labelled,N2.您知不知道原住民族委員會有「原住民族綜合發展基金貸款」的業務(包含微笑貸、青年創,haven_labelled,N2.您知不知道原住民族委員會有「原住民族綜合發展基金貸款」的業務(包含微笑貸、青年創,haven_labelled,,,3
g6_1,1,1,1,,,0,,,0,0,0,,,G6-1.請問您家中目前的房屋貸款總共借(貸)了多少錢?,haven_labelled,G6-1.經濟戶長的先生/太太所屬的族別?,haven_labelled,G6-1.經濟戶長的先生/太太所屬的族別?,haven_labelled,,,3
q4,0,0,0,4.請問您所屬的族別?,haven_labelled,1,4.請問您所屬的族別?,haven_labelled,1,1,0,Q4.請問您房屋每個月的租金是多少?,haven_labelled,,,,,,,,,3
q3,0,0,0,3.請問您的教育程度?,haven_labelled,1,3.請問您的教育程度?,haven_labelled,1,1,0,Q3.請問您現在住的房子是屬於誰的?,haven_labelled,,,,,,,,,3
g7,1,1,1,,,0,,,0,0,0,,,G7.請問您個人有沒有信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等的貸款呢?,haven_labelled,G7.經濟戶長從事的行業?,haven_labelled,G7.經濟戶長從事的行業?,haven_labelled,,,3
g8,1,1,1,,,0,,,0,0,0,,,G8.請問您有沒有向親友、雇主、店家等借錢、預支薪水或賒帳等情形?,haven_labelled,G8.經濟戶長從事的行業有沒有透過創意將原住民文化元素運用或展現在產品或服務中?,haven_labelled,G8.經濟戶長從事的行業有沒有透過創意將原住民文化元素運用或展現在產品或服務中?,haven_labelled,,,3
l4,0,1,1,,,0,,,0,0,1,,,,,L4.包含經濟戶長本人，全家每個月接受「政府發給津貼、補助、各種社會保險、私人保險」,haven_labelled,L4.包含經濟戶長本人，全家每個月接受「政府發給津貼、補助、各種社會保險、私人保險」,haven_labelled,L4.如果您需要貸款，請問您最希望從農會、儲蓄互助社，還是ㄧ般銀行取得資金？,haven_labelled,3
m4,0,1,1,,,0,,,0,0,1,,,,,M4.您全家每個月用在支付「看病就醫、繳醫療保險費、購買醫療用品/設備等」的費用是多少,haven_labelled,M4.您全家每個月用在支付「看病就醫、繳醫療保險費、購買醫療用品/設備等」的費用是多少,haven_labelled,M4.請問您的教育程度？,haven_labelled,3
m3,0,1,1,,,0,,,0,0,1,,,,,M3.您全家每個月用在支付「上下班上下學通勤、搭乘交通工具、汽機車保養/油錢、汽機車保,haven_labelled,M3.您全家每個月用在支付「上下班上下學通勤、搭乘交通工具、汽機車保養/油錢、汽機車保,haven_labelled,M3. 請問您今年幾歲？,haven_labelled,3
h1o,1,1,1,,,0,,,0,0,0,,,H1.請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農林漁業或自己做,numeric,H1.您現在住的房子是屬於誰的?其他，請說明__,character,H1.您現在住的房子是屬於誰的?其他，請說明__,character,,,3
h2o,1,1,1,,,0,,,0,0,0,,,H2.請問您個人每個月接受「政府津貼補助、各種社會保險、私人保險」收入總共是多少?請記,numeric,"H2.若房子為租賃/配住者(H1回答3、4、5者)，您每個月的房屋租金是多少?(11)20,000元以上，請紀",character,"H2.若房子為租賃/配住者(H1回答3、4、5者)，您每個月的房屋租金是多少?(11)20,000元以上，請紀",character,,,3
m1,0,1,1,,,0,,,0,0,1,,,,,M1.您全家每個月用在支付「買米/肉/菜、水果、非酒精飲料費、糖果零食等」的費用是多少?,haven_labelled,M1.您全家每個月用在支付「買米/肉/菜、水果、非酒精飲料費、糖果零食等」的費用是多少?,haven_labelled,M1.請問您需不需要負責家計？,haven_labelled,3
h6,1,1,1,,,0,,,0,0,0,,,H6.除了以上這些收入以外，請問您(經濟戶長)個人每個月「其他雜項」收入總共是多少?,haven_labelled,H6.您們家目前有沒有房屋貸款?,haven_labelled,H6.您們家目前有沒有房屋貸款?,haven_labelled,,,3
q2,0,0,0,2.請問您的年齡,haven_labelled,1,2.請問您的年齡,haven_labelled,1,1,0,Q2.請問您住的房子是幾層樓的?,haven_labelled,,,,,,,,,3
f4_1,0,1,1,,,0,,,0,0,1,,,,,F4.您家庭的主要經濟來源是什麼(複選，超過總收入五分之一者皆算入主要經濟來源)?來源一,haven_labelled,F4.您家庭的主要經濟來源是什麼(複選，超過總收入五分之一者皆算入主要經濟來源)?來源一,haven_labelled,F4-1.為了改善您的經濟狀況，請問您希不希望您的配偶也外出工作？,haven_labelled,3
county2,1,1,1,,,0,,,0,0,0,,,戶籍地鄉鎮市區,haven_labelled,戶籍地完整鄉鎮市區,haven_labelled,戶籍地完整鄉鎮市區,haven_labelled,,,3
q15,0,0,0,15.請問您家中有幾部家用電腦?,haven_labelled,1,15.請問您家中有幾部家用電腦?,haven_labelled,1,1,0,Q15.請問您或您的家人最需要政府提供什麼幫忙,haven_labelled,,,,,,,,,3
f1_1_2,1,1,1,,,0,,,0,0,0,,,F1-1-2.7-15歲的原住民族有幾位?,haven_labelled,F1-1-2.與您同戶籍且共同生活的人(包括自己且不限原住民)，7-15歲的原住民有幾位?,haven_labelled,F1-1-2.與您同戶籍且共同生活的人(包括自己且不限原住民)，7-15歲的原住民有幾位?,haven_labelled,,,3
f1_1_1,1,1,1,,,0,,,0,0,0,,,F1-1-1.6歲以下的原住民族有幾位?,haven_labelled,F1-1-1.與您同戶籍且共同生活的人(包括自己且不限原住民)，6歲以下的原住民有幾位?,haven_labelled,F1-1-1.與您同戶籍且共同生活的人(包括自己且不限原住民)，6歲以下的原住民有幾位?,haven_labelled,,,3
q11,0,0,0,11.請問您家中有幾部自用汽車?,haven_labelled,1,11.請問您家中有幾部自用汽車?,haven_labelled,1,1,0,Q11.除了您本人以外，家裡有沒有其他具有原住民身分的家人有固定收入?,haven_labelled,,,,,,,,,3
f1_1_3,1,1,1,,,0,,,0,0,0,,,F1-1-3.16-54歲的原住民族有幾位?,haven_labelled,F1-1-3.與您同戶籍且共同生活的人(包括自己且不限原住民)，16-54歲的原住民有幾位?,haven_labelled,F1-1-3.與您同戶籍且共同生活的人(包括自己且不限原住民)，16-54歲的原住民有幾位?,haven_labelled,,,3
f1_1_4,1,1,1,,,0,,,0,0,0,,,F1-1-4.55-64歲的原住民族有幾位?,haven_labelled,F1-1-4.與您同戶籍且共同生活的人(包括自己且不限原住民)，55-64歲的原住民有幾位?,haven_labelled,F1-1-4.與您同戶籍且共同生活的人(包括自己且不限原住民)，55-64歲的原住民有幾位?,haven_labelled,,,3
f1_1_5,1,1,1,,,0,,,0,0,0,,,F1-1-5.65歲以上的原住民族有幾位?,haven_labelled,F1-1-5.與您同戶籍且共同生活的人(包括自己且不限原住民)，65歲以上的原住民有幾位?,haven_labelled,F1-1-5.與您同戶籍且共同生活的人(包括自己且不限原住民)，65歲以上的原住民有幾位?,haven_labelled,,,3
n3,1,1,1,,,0,,,0,0,0,,,N3.請問您今年幾歲?,haven_labelled,N3.您有沒有參加「儲蓄互助社(儲互社)」?,haven_labelled,N3.您有沒有參加「儲蓄互助社(儲互社)」?,haven_labelled,,,3
n4,1,1,1,,,0,,,0,0,0,,,N4.請問您的教育程度?,haven_labelled,N4.您們家是不是符合地方政府列冊登記有案的中低收入戶?,haven_labelled,N4.您們家是不是符合地方政府列冊登記有案的中低收入戶?,haven_labelled,,,3
q14,0,0,0,14.請問您家中有幾部彩色電視機?,haven_labelled,1,14.請問您家中有幾部彩色電視機?,haven_labelled,1,1,0,Q14.請問您個人每個月可以儲蓄(存錢)的金額是多少?,haven_labelled,,,,,,,,,3
q1,0,0,0,1.性別,haven_labelled,1,1.性別,haven_labelled,1,1,0,Q1.請問您目前住的房子的用途是屬於?,haven_labelled,,,,,,,,,3
city,1,1,1,,,0,,,0,0,0,,,縣市代碼,haven_labelled,縣市,haven_labelled,縣市,haven_labelled,,,3
q16,0,0,0,16.請問您住宅的建築結構是?,haven_labelled,1,16.請問您住宅的建築結構是?,haven_labelled,1,1,0,Q16.請問您知不知道「原住民綜合發展基金貸款」?,haven_labelled,,,,,,,,,3
l3o,0,1,1,,,0,,,0,0,0,,,,,L3.包含經濟戶長本人，全家每個月的「工作薪水、兼差薪水、加班費、退休金，或是從事農,numeric,L3.包含經濟戶長本人，全家每個月的「工作薪水、兼差薪水、加班費、退休金，或是從事農,numeric,,,2
q12,0,0,0,12.請問您家中有幾部自用機車?,haven_labelled,1,12.請問您家中有幾部自用機車?,haven_labelled,1,0,0,,,,,,,,,,,2
l3,0,1,1,,,0,,,0,0,0,,,,,L3.包含經濟戶長本人，全家每個月的「工作薪水、兼差薪水、加班費、退休金，或是從事農,haven_labelled,L3.包含經濟戶長本人，全家每個月的「工作薪水、兼差薪水、加班費、退休金，或是從事農,haven_labelled,,,2
l2o,0,1,1,,,0,,,0,0,0,,,,,L2.除了經濟戶長本人以外，這些有固定收入的家人中，具有原住民身分者有幾位?(1)有具原住,numeric,L2.除了經濟戶長本人以外，這些有固定收入的家人中，具有原住民身分者有幾位?(1)有具原住,numeric,,,2
k1_2_b,0,1,1,,,0,,,0,0,0,,,,,K1.經濟戶長目前有從事以下哪些投資嗎(複選)?投資二,haven_labelled,K1.經濟戶長目前有從事以下哪些投資嗎(複選)?投資二,haven_labelled,,,2
l2_3_9,1,0,0,,,0,,,0,0,1,,,L2-3.請問您希望申請「原民會專案貸款」有哪些項目?(可複選)項目九,haven_labelled,,,,,L2-3.請問您希望透過哪一種媒體看到或聽到有關「原住民綜合發展基金貸款」的相關資訊？(,haven_labelled,2
l2_3_8,1,0,0,,,0,,,0,0,1,,,L2-3.請問您希望申請「原民會專案貸款」有哪些項目?(可複選)項目八,haven_labelled,,,,,L2-3.請問您希望透過哪一種媒體看到或聽到有關「原住民綜合發展基金貸款」的相關資訊？(,haven_labelled,2
k1_2,1,0,0,,,0,,,0,0,1,,,K1.請問您個人目前有從事以下哪些投資嗎?(可複選)投資二,haven_labelled,,,,,K1.請問您個人目前有從事以下哪些投資嗎？(可複選),haven_labelled,2
k1_1o,0,1,1,,,0,,,0,0,0,,,,,"K1-1.經濟戶長每個月用於投資的金額是多少?(16)100,000元以上，請記錄__元",numeric,"K1-1.經濟戶長每個月用於投資的金額是多少?(16)100,000元以上，請記錄__元",numeric,,,2
k1_3,1,0,0,,,0,,,0,0,1,,,K1.請問您個人目前有從事以下哪些投資嗎?(可複選)投資三,haven_labelled,,,,,K1.請問您個人目前有從事以下哪些投資嗎？(可複選),haven_labelled,2
l4o,0,1,1,,,0,,,0,0,0,,,,,L4.包含經濟戶長本人，全家每個月接受「政府發給津貼、補助、各種社會保險、私人保險」,numeric,L4.包含經濟戶長本人，全家每個月接受「政府發給津貼、補助、各種社會保險、私人保險」,numeric,,,2
l5o,0,1,1,,,0,,,0,0,0,,,,,L5.包含經濟戶長本人，全家每個月接受「紅白包禮金、私人發給救濟金/慰問金/獎助學金、,numeric,L5.包含經濟戶長本人，全家每個月接受「紅白包禮金、私人發給救濟金/慰問金/獎助學金、,numeric,,,2
l5,0,1,1,,,0,,,0,0,0,,,,,L5.包含經濟戶長本人，全家每個月接受「紅白包禮金、私人發給救濟金/慰問金/獎助學金、,haven_labelled,L5.包含經濟戶長本人，全家每個月接受「紅白包禮金、私人發給救濟金/慰問金/獎助學金、,haven_labelled,,,2
k1_1a,1,0,0,,,0,,,0,0,1,,,K1-1.請問您個人每個月用於投資的金額是多少?,haven_labelled,,,,,K1-1.請問您個人每個月用於投資的金額是多少？,haven_labelled,2
k1_4,1,0,0,,,0,,,0,0,1,,,K1.請問您個人目前有從事以下哪些投資嗎?(可複選)投資四,haven_labelled,,,,,K1.請問您個人目前有從事以下哪些投資嗎？(可複選),haven_labelled,2
k1_1_a,0,1,1,,,0,,,0,0,0,,,,,K1.經濟戶長目前有從事以下哪些投資嗎(複選)?投資一,haven_labelled,K1.經濟戶長目前有從事以下哪些投資嗎(複選)?投資一,haven_labelled,,,2
j7_8_2,1,0,0,,,0,,,0,0,1,,,J7-8.「買家具/家庭電器/廚房用具」支出金額,haven_labelled,,,,,J7_8.平均每個月支出金額,haven_labelled,2
j7_8_1,1,0,0,,,0,,,0,0,1,,,J7-8.「買家具/家庭電器/廚房用具」支出有無,haven_labelled,,,,,J7_8.請問您家庭過去一年有沒有其他費用的支出,haven_labelled,2
j7_7_2,1,0,0,,,0,,,0,0,1,,,J7-7.「買衣服/鞋子/襪子各項衣物」支出金額,haven_labelled,,,,,J7_7.平均每個月支出金額,haven_labelled,2
j7_7_1,1,0,0,,,0,,,0,0,1,,,J7-7.「買衣服/鞋子/襪子各項衣物」支出有無,haven_labelled,,,,,J7_7.請問您家庭過去一年有沒有兒童照顧/老人照顧/身心障礙者照顧的支出,haven_labelled,2
j7_6_2,1,0,0,,,0,,,0,0,1,,,J7-6.「外食費/學生住宿費/自助旅行住宿服務費」支出金額,haven_labelled,,,,,J7_6.平均每個月支出金額,haven_labelled,2
j7_6_1,1,0,0,,,0,,,0,0,1,,,J7-6.「外食費/學生住宿費/自助旅行住宿服務費」支出有無,haven_labelled,,,,,J7_6.請問您家庭過去一年有沒有購買傢俱/家庭電器/廚房用具的支出,haven_labelled,2
j7_5_2,1,0,0,,,0,,,0,0,1,,,J7-5.「各項貸款/跟會的利息」支出金額,haven_labelled,,,,,J7_5.平均每個月支出金額,haven_labelled,2
l6,0,1,1,,,0,,,0,0,0,,,,,L6.包含經濟戶長本人，全家每個月的「存款利息、跟會利息、股票利息、各種投資利息」總,haven_labelled,L6.包含經濟戶長本人，全家每個月的「存款利息、跟會利息、股票利息、各種投資利息」總,haven_labelled,,,2
l6o,0,1,1,,,0,,,0,0,0,,,,,L6.包含經濟戶長本人，全家每個月的「存款利息、跟會利息、股票利息、各種投資利息」總,numeric,L6.包含經濟戶長本人，全家每個月的「存款利息、跟會利息、股票利息、各種投資利息」總,numeric,,,2
k1_3_c,0,1,1,,,0,,,0,0,0,,,,,K1.經濟戶長目前有從事以下哪些投資嗎(複選)?投資三,haven_labelled,K1.經濟戶長目前有從事以下哪些投資嗎(複選)?投資三,haven_labelled,,,2
