variable,91_1,91_2,95,99,103,106,110,years_present,count
k1_1a,N,N,N,Y,Y,N,N,"99,103",2
weight,N,N,Y,N,N,N,Y,"95,110",2
l1,N,N,N,Y,N,Y,N,"99,106",2
k3_2,N,N,N,N,N,Y,Y,"106,110",2
w1,N,N,N,Y,Y,N,N,"99,103",2
k3_1,N,N,N,N,N,Y,Y,"106,110",2
l1_1,N,N,N,N,Y,N,Y,"103,110",2
n1,N,N,N,N,Y,Y,N,"103,106",2
n2,N,N,N,N,Y,Y,N,"103,106",2
l1o,N,N,N,N,Y,Y,N,"103,106",2
b01,Y,Y,N,N,N,N,N,"91_1,91_2",2
k1_5,N,N,N,Y,Y,N,N,"99,103",2
l2_2_1,N,N,N,Y,Y,N,N,"99,103",2
k1_4,N,N,N,Y,Y,N,N,"99,103",2
l2_2_2,N,N,N,Y,Y,N,N,"99,103",2
k1_3,N,N,N,Y,Y,N,N,"99,103",2
l2_2_3,N,N,N,Y,Y,N,N,"99,103",2
l2_2_4,N,N,N,Y,Y,N,N,"99,103",2
j7_6_1,N,N,N,Y,Y,N,N,"99,103",2
q7d,Y,Y,N,N,N,N,N,"91_1,91_2",2
q26a,Y,Y,N,N,N,N,N,"91_1,91_2",2
q5,Y,Y,N,N,N,N,N,"91_1,91_2",2
q25a,Y,Y,N,N,N,N,N,"91_1,91_2",2
j7_3_1,N,N,N,Y,Y,N,N,"99,103",2
q26,Y,Y,N,N,N,N,N,"91_1,91_2",2
l2_3_5,N,N,N,Y,Y,N,N,"99,103",2
q27,Y,Y,N,N,N,N,N,"91_1,91_2",2
q23d,Y,Y,N,N,N,N,N,"91_1,91_2",2
q27a,Y,Y,N,N,N,N,N,"91_1,91_2",2
q27b,Y,Y,N,N,N,N,N,"91_1,91_2",2
county2,N,N,N,N,Y,Y,N,"103,106",2
q28,Y,Y,N,N,N,N,N,"91_1,91_2",2
city,N,N,N,N,Y,Y,N,"103,106",2
q23c,Y,Y,N,N,N,N,N,"91_1,91_2",2
q23b,Y,Y,N,N,N,N,N,"91_1,91_2",2
q24,Y,Y,N,N,N,N,N,"91_1,91_2",2
q25,Y,Y,N,N,N,N,N,"91_1,91_2",2
q23a,Y,Y,N,N,N,N,N,"91_1,91_2",2
l2_3_4,N,N,N,Y,Y,N,N,"99,103",2
q21,Y,Y,N,N,N,N,N,"91_1,91_2",2
q22a,Y,Y,N,N,N,N,N,"91_1,91_2",2
j7_5_2,N,N,N,Y,Y,N,N,"99,103",2
j7_5_1,N,N,N,Y,Y,N,N,"99,103",2
l2_3_3,N,N,N,Y,Y,N,N,"99,103",2
j7_4_1,N,N,N,Y,Y,N,N,"99,103",2
j7_4_2,N,N,N,Y,Y,N,N,"99,103",2
j7_3_2,N,N,N,Y,Y,N,N,"99,103",2
q22b,Y,Y,N,N,N,N,N,"91_1,91_2",2
