sample_definition,survey_year,variable,valid_n,missing_n,missing_pct,mean,median,sd,min,max
full_sample,2017,INC_FAM_OTHER_INCOME,5302,0,0,328.6495662014334,0,2535.6755819009177,0,75000
full_sample,2017,INC_FAM_RENT_INCOME,5302,0,0,285.26970954356847,0,3266.5141956585253,0,85000
full_sample,2017,INC_FAM_TOTAL_DERIVED_COMPLETE_INCOME,5302,0,0,58170.030177291585,55000,38265.607769057155,0,320000
full_sample,2017,INC_FAM_TOTAL_DERIVED_INCOME,5302,0,0,58170.030177291585,55000,38265.607769057155,0,320000
full_sample,2017,INC_FAM_TRANSFER_INCOME,5302,0,0,237.26895511127876,0,1629.0326975267858,0,35000
full_sample,2017,INC_FAM_WORK_INCOME,5302,0,0,54678.42323651452,45000,37496.467070246705,0,175000
full_sample,2017,INC_PERS_GOV_INCOME,5302,0,0,1472.9347416069409,0,3541.807494398316,0,35000
full_sample,2017,INC_PERS_INTEREST_INCOME,5302,0,0,273.8589211618257,0,1808.7358934496149,0,35000
full_sample,2017,INC_PERS_OTHER_INCOME,5302,0,0,313.56092040739344,0,2487.8484142110765,0,75000
full_sample,2017,INC_PERS_RENT_INCOME,5302,0,0,221.61448509996228,0,2848.5841749101082,0,85000
full_sample,2017,INC_PERS_TRANSFER_INCOME,5302,0,0,198.88721237268956,0,1300.7132716349013,0,35000
full_sample,2017,INC_PERS_WORK_INCOME,5302,0,0,30254.620897774425,27500,21819.23023640876,0,175000
full_sample,2021,EXP_ALCOHOL_EXPENDITURE,5409,0,0,2116.2876687003145,750,3243.3108522149587,0,35000
full_sample,2021,EXP_BOOKS_EXPENDITURE,5409,0,0,279.9963024588649,0,720.858349706345,0,12500
full_sample,2021,EXP_CARE_EXPENDITURE,5409,0,0,520.7986688851913,0,3187.899822637127,0,35000
full_sample,2021,EXP_CLEANING_EXPENDITURE,5409,0,0,75.42983915696063,0,1195.2294091666984,0,25000
full_sample,2021,EXP_CLOTHING_EXPENDITURE,5409,0,0,1629.9685709003513,500,2592.309550282412,0,35000
full_sample,2021,EXP_DINING_LODGING_EXPENDITURE,5409,0,0,4098.816786836754,1500,6237.397537244004,0,35000
