sample_definition,Survey Year,County,Sample N
full_sample,2006,北屯區,23
full_sample,2006,北投區,10
full_sample,2006,北斗鎮,1
full_sample,2006,卑南鄉,116
full_sample,2006,卓溪鄉,191
full_sample,2006,南區,9
full_sample,2006,南屯區,2
full_sample,2006,南庄鄉,50
full_sample,2006,南投市,5
full_sample,2006,南港區,8
full_sample,2006,南澳鄉,92
full_sample,2006,南竿鄉,1
full_sample,2006,吉安鄉,192
full_sample,2006,和平鄉,41
full_sample,2006,和美鎮,3
full_sample,2006,員山鄉,4
full_sample,2006,員林鎮,6
full_sample,2006,國姓鄉,2
full_sample,2006,土城市,21
full_sample,2006,埔里鎮,35
full_sample,2006,埔鹽鄉,1
full_sample,2006,士林區,23
full_sample,2006,壯圍鄉,3
full_sample,2006,壽豐鄉,75
full_sample,2006,外埔鄉,1
full_sample,2006,大同區,21
full_sample,2006,大同鄉,128
full_sample,2006,大園鄉,12
full_sample,2006,大埔鄉,1
full_sample,2006,大安區,8
full_sample,2006,大寮鄉,3
full_sample,2006,大樹鄉,4
full_sample,2006,大武鄉,35
full_sample,2006,大湖鄉,4
full_sample,2006,大溪鎮,31
full_sample,2006,大肚鄉,4
full_sample,2006,大里市,18
full_sample,2006,大雅鄉,106
full_sample,2006,太平鄉,6
full_sample,2006,太麻里,108
full_sample,2006,學甲鎮,1
full_sample,2006,安南區,3
full_sample,2006,安平區,5
full_sample,2006,安樂區,1
full_sample,2006,官田鄉,1
full_sample,2006,宜蘭市,16
full_sample,2006,富里鄉,39
full_sample,2006,小港區,23
full_sample,2006,尖石鄉,54
full_sample,2006,屏東市,12
full_sample,2006,岡山鎮,11
full_sample,2006,左營區,38
full_sample,2006,左鎮鄉,1
full_sample,2006,布袋鎮,1
full_sample,2006,平鎮市,7
full_sample,2006,延平鄉,111
full_sample,2006,彰化市,2
full_sample,2006,後龍鎮,1
full_sample,2006,復興鄉,157
full_sample,2006,恆春鎮,2
full_sample,2006,成功鎮,176
full_sample,2006,文山區,14
full_sample,2006,斗六市,1
full_sample,2006,斗南鎮,1
full_sample,2006,新化鎮,2
full_sample,2006,新園鄉,2
full_sample,2006,新城鄉,42
full_sample,2006,新埔鎮,1
full_sample,2006,新屋鄉,5
full_sample,2006,新店市,15
full_sample,2006,新港鄉,11
full_sample,2006,新興區,3
full_sample,2006,新莊市,11
full_sample,2006,新豐鄉,3
full_sample,2006,春日鄉,113
full_sample,2006,暖暖區,1
full_sample,2006,望安鄉,1
full_sample,2006,未知地區,7
full_sample,2006,朴子市,1
full_sample,2006,杉林鄉,3
full_sample,2006,東勢鎮,2
full_sample,2006,東區,23
full_sample,2006,東河鄉,38
full_sample,2006,東石鄉,1
full_sample,2006,松山區,18
full_sample,2006,板橋市,30
full_sample,2006,枋寮鄉,3
full_sample,2006,枋山鄉,2
full_sample,2006,林口鄉,2
full_sample,2006,林園鄉,2
full_sample,2006,桃園市,16
full_sample,2006,桃源鄉,47
full_sample,2006,梓官鄉,11
full_sample,2006,梧棲鎮,5
full_sample,2006,楊梅鎮,13
full_sample,2006,楠梓區,18
full_sample,2006,樹林鎮,44
full_sample,2006,橫山鄉,1
full_sample,2006,歸仁鄉,3
full_sample,2006,民雄鄉,2
full_sample,2006,水里鄉,4
full_sample,2006,永和市,15
full_sample,2006,永安鄉,1
full_sample,2006,永康市,5
full_sample,2006,汐止鎮,2
full_sample,2006,池上鄉,56
full_sample,2006,沙鹿鎮,7
full_sample,2006,泰安鄉,92
full_sample,2006,泰山鄉,1
full_sample,2006,泰武鄉,74
full_sample,2006,海端鄉,63
full_sample,2006,淡水鎮,1
full_sample,2006,深坑鄉,12
full_sample,2006,清水鎮,7
full_sample,2006,湖口鄉,31
full_sample,2006,滿州鄉,44
full_sample,2006,潮州鎮,3
full_sample,2006,烏來鄉,20
full_sample,2006,烏日鄉,8
full_sample,2006,燕巢鄉,1
full_sample,2006,牡丹鄉,138
full_sample,2006,獅子鄉,55
full_sample,2006,獅潭鄉,3
full_sample,2006,玉里鎮,152
full_sample,2006,瑞穗鄉,94
full_sample,2006,瑞芳鎮,1
full_sample,2006,瑪家鄉,112
full_sample,2006,甲仙鄉,3
full_sample,2006,白沙鄉,1
full_sample,2006,白河鎮,1
full_sample,2006,石岡鄉,1
full_sample,2006,礁溪鄉,2
full_sample,2006,神岡鄉,3
