ID,SOURCE_ID,SURVEY_TAG,DATA_Y
110::2342014,2342014,110,2021
110::2342214,2342214,110,2021
110::2343299,2343299,110,2021
110::2343347,2343347,110,2021
110::2343378,2343378,110,2021
110::2343764,2343764,110,2021
110::2344375,2344375,110,2021
110::2344565,2344565,110,2021
110::2344806,2344806,110,2021
110::2345727,2345727,110,2021
110::2345829,2345829,110,2021
110::2346161,2346161,110,2021
110::2346485,2346485,110,2021
110::2347721,2347721,110,2021
110::2347995,2347995,110,2021
110::2348613,2348613,110,2021
110::2348966,2348966,110,2021
110::2349142,2349142,110,2021
110::2349147,2349147,110,2021
110::2349866,2349866,110,2021
110::2350463,2350463,110,2021
110::2350954,2350954,110,2021
110::2351210,2351210,110,2021
110::2351432,2351432,110,2021
110::2351483,2351483,110,2021
110::2351557,2351557,110,2021
110::2351695,2351695,110,2021
110::2351747,2351747,110,2021
110::2351898,2351898,110,2021
110::2351901,2351901,110,2021
110::2352150,2352150,110,2021
110::2352160,2352160,110,2021
110::2352205,2352205,110,2021
110::2352222,2352222,110,2021
110::2352241,2352241,110,2021
110::2352355,2352355,110,2021
110::2352667,2352667,110,2021
110::2352942,2352942,110,2021
110::2353140,2353140,110,2021
110::2353162,2353162,110,2021
110::2353205,2353205,110,2021
110::2353731,2353731,110,2021
110::2353820,2353820,110,2021
110::2353826,2353826,110,2021
110::2354095,2354095,110,2021
110::2354140,2354140,110,2021
110::2354183,2354183,110,2021
110::2354717,2354717,110,2021
110::2354884,2354884,110,2021
110::2355021,2355021,110,2021
110::2355108,2355108,110,2021
110::2355630,2355630,110,2021
110::2355676,2355676,110,2021
110::2355732,2355732,110,2021
110::2355825,2355825,110,2021
110::2355995,2355995,110,2021
110::2356753,2356753,110,2021
110::2357115,2357115,110,2021
110::2357137,2357137,110,2021
110::2357270,2357270,110,2021
110::2357743,2357743,110,2021
110::2357904,2357904,110,2021
110::2358330,2358330,110,2021
110::2358469,2358469,110,2021
110::2359217,2359217,110,2021
110::2359944,2359944,110,2021
110::2362170,2362170,110,2021
110::2362250,2362250,110,2021
110::2362275,2362275,110,2021
110::2362335,2362335,110,2021
110::2362399,2362399,110,2021
110::2362428,2362428,110,2021
110::2362440,2362440,110,2021
110::2362896,2362896,110,2021
110::2362941,2362941,110,2021
110::2363184,2363184,110,2021
110::2363416,2363416,110,2021
110::2363720,2363720,110,2021
110::2363722,2363722,110,2021
110::2363807,2363807,110,2021
110::2363932,2363932,110,2021
110::2364004,2364004,110,2021
110::2364103,2364103,110,2021
110::2364216,2364216,110,2021
110::2364301,2364301,110,2021
110::2364743,2364743,110,2021
110::2365149,2365149,110,2021
110::2365996,2365996,110,2021
110::2366183,2366183,110,2021
110::2366387,2366387,110,2021
110::2366645,2366645,110,2021
110::2366666,2366666,110,2021
110::2366944,2366944,110,2021
110::2367009,2367009,110,2021
110::2367059,2367059,110,2021
110::2367306,2367306,110,2021
110::2367393,2367393,110,2021
110::2367721,2367721,110,2021
110::2367865,2367865,110,2021
110::2368016,2368016,110,2021
110::2368037,2368037,110,2021
110::2368133,2368133,110,2021
110::2368158,2368158,110,2021
110::2368159,2368159,110,2021
110::2368307,2368307,110,2021
110::2368403,2368403,110,2021
110::2372473,2372473,110,2021
110::2372594,2372594,110,2021
110::2372640,2372640,110,2021
110::2372661,2372661,110,2021
110::2373340,2373340,110,2021
110::2373804,2373804,110,2021
110::2374527,2374527,110,2021
110::2374617,2374617,110,2021
110::3329082,3329082,110,2021
110::3329222,3329222,110,2021
110::3329332,3329332,110,2021
110::3330072,3330072,110,2021
110::3330268,3330268,110,2021
110::3330873,3330873,110,2021
110::3332142,3332142,110,2021
110::3332612,3332612,110,2021
110::3334680,3334680,110,2021
110::3334835,3334835,110,2021
110::3334910,3334910,110,2021
110::3334913,3334913,110,2021
110::3334930,3334930,110,2021
110::3335910,3335910,110,2021
110::3336321,3336321,110,2021
110::3336402,3336402,110,2021
110::3336431,3336431,110,2021
110::3336493,3336493,110,2021
110::3336701,3336701,110,2021
110::3336735,3336735,110,2021
110::3336869,3336869,110,2021
110::3336929,3336929,110,2021
110::3337039,3337039,110,2021
110::3337321,3337321,110,2021
110::3337351,3337351,110,2021
110::3337357,3337357,110,2021
110::3337498,3337498,110,2021
110::3338039,3338039,110,2021
110::3338294,3338294,110,2021
110::3339272,3339272,110,2021
110::3340181,3340181,110,2021
110::3341689,3341689,110,2021
110::3341879,3341879,110,2021
110::3341923,3341923,110,2021
110::3342931,3342931,110,2021
110::3343025,3343025,110,2021
110::3343074,3343074,110,2021
110::3343165,3343165,110,2021
110::3343578,3343578,110,2021
110::3343994,3343994,110,2021
110::3344097,3344097,110,2021
110::3344488,3344488,110,2021
110::3344766,3344766,110,2021
110::3346618,3346618,110,2021
110::3346826,3346826,110,2021
110::3346999,3346999,110,2021
110::3347327,3347327,110,2021
110::3347972,3347972,110,2021
110::3348002,3348002,110,2021
110::3348794,3348794,110,2021
110::3349008,3349008,110,2021
110::3349998,3349998,110,2021
110::3350526,3350526,110,2021
110::3351744,3351744,110,2021
110::3352676,3352676,110,2021
110::3353062,3353062,110,2021
110::3353256,3353256,110,2021
110::3353811,3353811,110,2021
110::3353932,3353932,110,2021
110::3354096,3354096,110,2021
110::3355146,3355146,110,2021
110::3355237,3355237,110,2021
110::3355542,3355542,110,2021
110::3355573,3355573,110,2021
110::3355795,3355795,110,2021
110::3355817,3355817,110,2021
110::3356058,3356058,110,2021
110::3356460,3356460,110,2021
110::3356595,3356595,110,2021
110::3356739,3356739,110,2021
110::3356872,3356872,110,2021
110::3356932,3356932,110,2021
110::3357510,3357510,110,2021
110::3357563,3357563,110,2021
