path,bytes,modified_at,md5
data/processed_data/demographic_data_from_02.rds,510761,2026-07-31T15:18:21+0800,7b7ea4323b58df79cd848b789a16207d
data/processed_data/expenditure_data.rds,85101,2026-06-18T02:45:44+0800,07afc32136517ed1ffb880acf3a719d3
data/processed_data/expenditure_data_from_02.rds,85101,2026-06-18T02:45:44+0800,07afc32136517ed1ffb880acf3a719d3
data/processed_data/family_data.rds,158098,2026-06-11T18:16:23+0800,23972509c5d125239fbd3a9c21b65da1
data/processed_data/family_data_from_02.rds,229250,2026-07-31T17:51:48+0800,58112b1d997f2e5556c898fbc5aff637
data/processed_data/income_data.rds,53668,2026-06-18T02:45:44+0800,9b022d6378c1fd586e00cd8ddbb0b265
data/processed_data/income_data_from_02.rds,53668,2026-06-18T02:45:44+0800,9b022d6378c1fd586e00cd8ddbb0b265
data/processed_data/income_expenditure_data.rds,117269,2026-06-18T02:45:44+0800,e905f1b92899e0ce2e414cf86bc17860
data/processed_data/income_expenditure_data_from_02.rds,117269,2026-06-18T02:45:44+0800,e905f1b92899e0ce2e414cf86bc17860
output/archive/basic_info.csv,392970,2026-06-11T17:05:23+0800,7d1a888e79b42a9b34730e6e1d565c54
output/archive/city_code_95.csv,9470,2026-05-18T12:19:21+0800,1ddf99b1ac5cac15acb54beee7312b8f
output/archive/city_code_95.vsv,2227,2026-05-18T12:17:34+0800,8d2cc336e87bf7ea26736e2efd64b78d
output/archive/meta/meta_103.csv,18390,2026-05-18T11:40:03+0800,6563645512a96e480820d1dbe4ac8ba4
output/archive/meta/meta_106.csv,19487,2026-05-25T23:13:59+0800,f51860f8d31d655055be117fa9351082
output/archive/meta/meta_106_.csv,19487,2026-05-25T23:15:57+0800,f51860f8d31d655055be117fa9351082
output/archive/meta/meta_91_1.csv,3915,2026-05-18T11:41:06+0800,dcbfed1ea46194be0228afa009ce3d46
output/archive/meta/meta_91_2.csv,4130,2026-05-18T11:41:23+0800,3b9b115fa69fce035d479103696ca6a0
output/archive/meta/meta_95.csv,12529,2026-05-25T21:36:25+0800,3fdf668127d01755e46503978f3cecb8
output/archive/meta/meta_99.csv,12900,2026-05-18T11:40:03+0800,f4eb38f7a51f9ed27680d7628fd8721d
output/basic_info_from_02.csv,1015775,2026-07-31T15:16:51+0800,94f44d4443db4549b00145f893557589
output/checks/check_analysis_sample_exclusions.csv,276,2026-07-31T18:28:04+0800,abf303e4d8899ad8b43ee9e80c925d73
output/checks/check_education_component_exclusivity.csv,690,2026-07-31T18:28:15+0800,0f7f7fee9554474c595b11ad8bbc8f72
output/checks/check_expenditure_distribution.csv,46615,2026-07-31T15:25:18+0800,93171de4671e523684f83f78b108e743
output/checks/check_expenditure_value_sources.csv,17538,2026-07-31T15:25:16+0800,a75df7771601f2fd7177a71d5f6e8d9a
output/checks/check_expenditure_variable_mapping.csv,5482,2026-07-31T15:18:30+0800,df99eb2e2d6dc76e818dc436f6ea60d6
output/checks/check_family_count_variables.csv,1154,2026-07-31T17:51:48+0800,0f4ce3566be45f721103b40be7a91d5f
output/checks/check_family_join_integrity.csv,331,2026-07-31T18:04:11+0800,d66124ff991ecc549560c8e8771678b0
output/checks/check_geography_ambiguous_or_missing.csv,1847,2026-07-31T15:18:20+0800,c23833e3bf3111b0c13936f673f02f6d
output/checks/check_income_distribution.csv,33652,2026-07-31T15:25:17+0800,ff1a743a3e99328168ed9a3cd41084f9
output/checks/check_income_expenditure_manual_review.csv,100,2026-07-31T18:28:23+0800,891133bbc453fda6aff547c07725cbc0
output/checks/check_income_value_sources.csv,10018,2026-07-31T15:20:40+0800,34f59636c6ee1e4fc10c92696e99d5cc
output/checks/check_income_variable_mapping.csv,3615,2026-07-31T15:18:30+0800,fe0539f8785cd86d416aa95cd8b05465
output/checks/check_male_mapping.csv,449,2026-07-31T15:18:20+0800,debc163f445d95beb6e9d4c913fa2568
output/checks/check_missing_variables_by_year.csv,1111,2026-07-31T17:51:42+0800,b43444ef531a78253439bac48a815d26
output/checks/check_offline_pipeline_acceptance.csv,857,2026-07-31T19:05:56+0800,47c8a816b3564ae8459bc109c21e175b
output/checks/check_offline_transfer_bundle.csv,3456,2026-07-31T15:15:59+0800,1b5abf3cea375044f7a41e4319442b96
output/checks/check_rent_eligibility_vs_valid.csv,211,2026-07-31T17:51:48+0800,e484be1547269f4aa1bde8a5cdb9bafe
output/checks/check_rent_imputation.csv,9708,2026-07-31T17:51:48+0800,237a0d6518b054d5b384a988286e283f
output/checks/check_source_field_schema.csv,16227,2026-07-31T15:18:30+0800,c5e87c4206797a86f25c6b3dc6eaba4a
output/checks/check_total_construction.csv,4564,2026-07-31T18:28:25+0800,307ca98b8759da37113f90d6e881270e
output/checks/check_two_stage_expenditure_variables.csv,3513,2026-07-31T15:18:30+0800,6ae4b2d0ab19308fcaa7ef7c396822ea
output/checks/check_unknown_income_expenditure_presence.csv,2137,2026-07-31T18:28:03+0800,0291c5baeb2841e13033b0251fb5ddee
output/checks/check_unknown_variable_presence.csv,1836,2026-07-31T18:25:42+0800,0b915c6d2714db67101470a6c15cb84f
output/checks/check_unmapped_demographic_values.csv,525,2026-07-31T15:18:20+0800,236c6415ee5e3076d7356e106e1ba2f8
output/checks/check_unmapped_expenditure_values.csv,17450,2026-07-31T15:25:16+0800,d442731225081edf764c4c48752c8594
output/checks/check_unmapped_income_values.csv,3266,2026-07-31T15:20:40+0800,caeac774e08e7de1aa029bb488c14176
output/demographic_data_from_02.csv,8150830,2026-07-31T15:18:21+0800,c829bb13c6a0a54a410872bececb609c
output/family_data_from_02.csv,3459950,2026-07-31T17:51:48+0800,8e34c8fbba037d6806ff2f363dad0f0c
output/pipeline_manifest.csv,17158,2026-07-31T18:33:21+0800,632cd55571a9d62c10fdf0f4fd07a931
output/summary_statistics/categorical_summary.csv,376823,2026-07-31T18:25:47+0800,f66a84dee06473795a7fc3ad433e99fd
output/summary_statistics/coverage_summary.csv,63955,2026-07-31T18:28:25+0800,2f46ba6d1980e0636910606d6b3bb30f
output/summary_statistics/income_expenditure_recoded/income_expenditure_coverage_summary.csv,44800,2026-07-31T18:28:25+0800,1f6b8a6e069ad4e98ae6ac126bc27cd3
output/summary_statistics/income_expenditure_recoded/income_expenditure_numeric_summary.csv,38524,2026-07-31T18:28:25+0800,e6cde29e7c4b0972984a837574a7420b
output/summary_statistics/income_expenditure_recoded/income_expenditure_recoded_values.csv,148598770,2026-07-31T18:28:24+0800,62bf34a2afb248692bee077864adb783
output/summary_statistics/income_expenditure_recoded/income_expenditure_recoding_table.csv,152852,2026-07-31T18:28:23+0800,9bf173eb42777ef4b5ec73785249f82c
output/summary_statistics/numeric_summary.csv,2150,2026-07-31T18:25:47+0800,e9732b616690e12975e09b04fc7ac608
output/summary_statistics/sample_by_city.csv,8779,2026-07-31T18:25:47+0800,408b44dac3da79e17cfa1d8b545d860c
output/summary_statistics/sample_by_county.csv,84444,2026-07-31T18:25:47+0800,727bb25600ba91d34a4dd71355f72b9d
output/summary_statistics/sample_by_year.csv,395,2026-07-31T18:25:47+0800,fab8ee8377a0ba5866f5dad3e642a30f
