year,source_version,source_pdf,question_id,question_text,option_code,option_text,available_in_91_1,available_in_91_2,integration_note
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,16,請問您住宅的建築結構是?,5,土造,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,16,請問您住宅的建築結構是?,6,竹（草）造,1,1,shared_in_both_versions
91,91_1,ques91-1.pdf;ques91-2.pdf,16,請問您住宅的建築結構是?,7,其他,1,0,version_specific_to_91_1
91,91_2,ques91-1.pdf;ques91-2.pdf,16,請問您住宅的建築結構是?,7,鐵皮屋,0,1,version_specific_to_91_2
91,91_2,ques91-1.pdf;ques91-2.pdf,16,請問您住宅的建築結構是?,8,其他,0,1,version_specific_to_91_2
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,17,請問您住宅的面積有多少坪(建坪)?,,,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,18,請問您的住宅是自有、租賃、配住、借用?,1,自有（跳答20題）,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,18,請問您的住宅是自有、租賃、配住、借用?,2,租賃（續答19題）,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,18,請問您的住宅是自有、租賃、配住、借用?,3,配住（續答19題）,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,18,請問您的住宅是自有、租賃、配住、借用?,4,借用（跳答21題）,1,1,shared_in_both_versions
91,91_2,ques91-1.pdf;ques91-2.pdf,18,請問您的住宅是自有、租賃、配住、借用?,5,未經許可自行搭建（跳答21題）,0,1,version_specific_to_91_2
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,19,請問您每個月的租金是多少?,1,未滿1千元,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,19,請問您每個月的租金是多少?,2,1千元至未滿3千元,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,19,請問您每個月的租金是多少?,3,3千元至未滿5千元,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,19,請問您每個月的租金是多少?,4,5千元至未滿7千元,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,19,請問您每個月的租金是多少?,5,7千元至未滿1萬元,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,19,請問您每個月的租金是多少?,6,1萬元至未滿2萬元,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,19,請問您每個月的租金是多少?,6,2萬元以上（請記錄金額）,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,20,請問您有沒有房屋貸款?,1,有,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,20,請問您有沒有房屋貸款?,2,沒有,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,20-1,請問您每個月房屋貸款本金和利息總共是多少?,1,未滿5千元,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,20-1,請問您每個月房屋貸款本金和利息總共是多少?,10,8萬元至未滿9萬元,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,20-1,請問您每個月房屋貸款本金和利息總共是多少?,11,9萬元至未滿10萬元,1,1,shared_in_both_versions
