year,source_pdf,question_id,question_text,option_code,option_text
91_1,ques91-1.pdf,20-1,請問你每個月房屋貸款本金和利息總共是多少？,7,5萬元至未滿6萬元
91_1,ques91-1.pdf,20-1,請問你每個月房屋貸款本金和利息總共是多少？,8,6萬元至未滿7萬元
91_1,ques91-1.pdf,20-1,請問你每個月房屋貸款本金和利息總共是多少？,9,7萬元至未滿8萬元
91_1,ques91-1.pdf,20-1,請問你每個月房屋貸款本金和利息總共是多少？,10,8萬元至未滿9萬元
91_1,ques91-1.pdf,20-1,請問你每個月房屋貸款本金和利息總共是多少？,11,9萬元至未滿10萬
91_1,ques91-1.pdf,20-1,請問你每個月房屋貸款本金和利息總共是多少？,12,10萬元以上（請記錄　　元）
91_1,ques91-1.pdf,21,請問您全家每個月平均總共收入是多少（所有人）？,1,未滿2萬元
91_1,ques91-1.pdf,21,請問您全家每個月平均總共收入是多少（所有人）？,2,2萬元至未滿4萬元
91_1,ques91-1.pdf,21,請問您全家每個月平均總共收入是多少（所有人）？,3,4萬元至未滿6萬元
91_1,ques91-1.pdf,21,請問您全家每個月平均總共收入是多少（所有人）？,4,6萬元至未滿8萬元
91_1,ques91-1.pdf,21,請問您全家每個月平均總共收入是多少（所有人）？,5,8萬元至未滿10萬元
91_1,ques91-1.pdf,21,請問您全家每個月平均總共收入是多少（所有人）？,6,10萬元至未滿12萬元
91_1,ques91-1.pdf,21,請問您全家每個月平均總共收入是多少（所有人）？,7,12萬元至未滿15萬元
91_1,ques91-1.pdf,21,請問您全家每個月平均總共收入是多少（所有人）？,8,15萬元以上（請記錄　　元）
91_1,ques91-1.pdf,22-1,工作收入是多少？,1,未滿2萬元
91_1,ques91-1.pdf,22-1,工作收入是多少？,2,2萬元至未滿4萬元
91_1,ques91-1.pdf,22-1,工作收入是多少？,3,4萬元至未滿6萬元
91_1,ques91-1.pdf,22-1,工作收入是多少？,4,6萬元至未滿8萬元
91_1,ques91-1.pdf,22-1,工作收入是多少？,5,8萬元至未滿10萬元
91_1,ques91-1.pdf,22-1,工作收入是多少？,6,10萬元至未滿12萬元
91_1,ques91-1.pdf,22-1,工作收入是多少？,7,12萬元至未滿15萬元
91_1,ques91-1.pdf,22-1,工作收入是多少？,8,15萬元以上（請記錄　　元）
91_1,ques91-1.pdf,22-2,政府補助及津貼收入是多少？,1,未滿2000元
91_1,ques91-1.pdf,22-2,政府補助及津貼收入是多少？,2,2000元至未滿4000元
91_1,ques91-1.pdf,22-2,政府補助及津貼收入是多少？,3,4000元至未滿6000元
91_1,ques91-1.pdf,22-2,政府補助及津貼收入是多少？,4,6000元至未滿一萬元
91_1,ques91-1.pdf,22-2,政府補助及津貼收入是多少？,5,1萬至未滿1萬5000元
91_1,ques91-1.pdf,22-2,政府補助及津貼收入是多少？,6,1萬5000元至未滿2萬元
91_1,ques91-1.pdf,22-2,政府補助及津貼收入是多少？,7,2萬元至未滿3萬元
91_1,ques91-1.pdf,22-2,政府補助及津貼收入是多少？,8,3萬元以上（請記錄　　元）
91_1,ques91-1.pdf,22-2,政府補助及津貼收入是多少？,9,沒有這項收入
91_1,ques91-1.pdf,22-3,其他收入是多少？（利息、租金、民間團體補助、退休俸、兒女奉養費（若兒女不是共同生活的人））,1,未滿5000元
91_1,ques91-1.pdf,22-3,其他收入是多少？（利息、租金、民間團體補助、退休俸、兒女奉養費（若兒女不是共同生活的人））,2,5000至未滿1萬元
91_1,ques91-1.pdf,22-3,其他收入是多少？（利息、租金、民間團體補助、退休俸、兒女奉養費（若兒女不是共同生活的人））,3,1萬至未滿2萬元
91_1,ques91-1.pdf,22-3,其他收入是多少？（利息、租金、民間團體補助、退休俸、兒女奉養費（若兒女不是共同生活的人））,4,2萬元至未滿3萬元
91_1,ques91-1.pdf,22-3,其他收入是多少？（利息、租金、民間團體補助、退休俸、兒女奉養費（若兒女不是共同生活的人））,5,3萬元至未滿4萬元
91_1,ques91-1.pdf,22-3,其他收入是多少？（利息、租金、民間團體補助、退休俸、兒女奉養費（若兒女不是共同生活的人））,6,4萬元至未滿5萬元
91_1,ques91-1.pdf,22-3,其他收入是多少？（利息、租金、民間團體補助、退休俸、兒女奉養費（若兒女不是共同生活的人））,7,5萬元至未滿6萬元
91_1,ques91-1.pdf,22-3,其他收入是多少？（利息、租金、民間團體補助、退休俸、兒女奉養費（若兒女不是共同生活的人））,8,6萬元以上（請記錄　　元）
91_1,ques91-1.pdf,22-3,其他收入是多少？（利息、租金、民間團體補助、退休俸、兒女奉養費（若兒女不是共同生活的人））,9,沒有其他收入
91_1,ques91-1.pdf,23,請問您每個月家庭平均支出是多少？,1,未滿2萬元
91_1,ques91-1.pdf,23,請問您每個月家庭平均支出是多少？,2,2萬至未滿3萬元
91_1,ques91-1.pdf,23,請問您每個月家庭平均支出是多少？,3,3萬至未滿4萬元
91_1,ques91-1.pdf,23,請問您每個月家庭平均支出是多少？,4,4萬至未滿5萬元
91_1,ques91-1.pdf,23,請問您每個月家庭平均支出是多少？,5,5萬元至未滿6萬元
91_1,ques91-1.pdf,23,請問您每個月家庭平均支出是多少？,6,6萬元至未滿7萬元
