year,source_pdf,question_id,question_text,option_code,option_text,extraction_note
103,ques103.pdf,G6-1,請問您家中目前的房屋貸款總共借（貸）了多少錢？,10,700 萬元-未滿800 萬元,
103,ques103.pdf,G6-1,請問您家中目前的房屋貸款總共借（貸）了多少錢？,11,800 萬元-未滿900 萬元,
103,ques103.pdf,G6-1,請問您家中目前的房屋貸款總共借（貸）了多少錢？,12,"900 萬元-未滿1,000 萬元",
103,ques103.pdf,G6-1,請問您家中目前的房屋貸款總共借（貸）了多少錢？,13,"1,000 萬元及以上，請記錄______________萬元",
103,ques103.pdf,G6-2,請問您家中每個月房屋貸款要繳多少錢？【過去ㄧ年平均每個月的繳款金額】,1,"4,999",
103,ques103.pdf,G6-2,請問您家中每個月房屋貸款要繳多少錢？【過去ㄧ年平均每個月的繳款金額】,2,"5,000-9,999 元",
103,ques103.pdf,G6-2,請問您家中每個月房屋貸款要繳多少錢？【過去ㄧ年平均每個月的繳款金額】,3,"10,000-14,999 元",
103,ques103.pdf,G6-2,請問您家中每個月房屋貸款要繳多少錢？【過去ㄧ年平均每個月的繳款金額】,4,"15,000-19,999 元",
103,ques103.pdf,G6-2,請問您家中每個月房屋貸款要繳多少錢？【過去ㄧ年平均每個月的繳款金額】,5,"20,000-24,999 元",
103,ques103.pdf,G6-2,請問您家中每個月房屋貸款要繳多少錢？【過去ㄧ年平均每個月的繳款金額】,6,"25,000-29,999 元",
103,ques103.pdf,G6-2,請問您家中每個月房屋貸款要繳多少錢？【過去ㄧ年平均每個月的繳款金額】,7,"30,000-39,999 元",
103,ques103.pdf,G6-2,請問您家中每個月房屋貸款要繳多少錢？【過去ㄧ年平均每個月的繳款金額】,8,"40,000-49,999 元",
103,ques103.pdf,G6-2,請問您家中每個月房屋貸款要繳多少錢？【過去ㄧ年平均每個月的繳款金額】,9,"50,000-59,999 元",
103,ques103.pdf,G6-2,請問您家中每個月房屋貸款要繳多少錢？【過去ㄧ年平均每個月的繳款金額】,10,"60,000-69,999 元",
103,ques103.pdf,G6-2,請問您家中每個月房屋貸款要繳多少錢？【過去ㄧ年平均每個月的繳款金額】,11,"70,000 元及以上，請記錄______________元",
103,ques103.pdf,G6-2,請問您家中每個月房屋貸款要繳多少錢？【過去ㄧ年平均每個月的繳款金額】,12,沒有在繳貸款 附1-2,
103,ques103.pdf,G7,請問您個人有沒有信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等的貸款呢？,1,有,
103,ques103.pdf,G7,請問您個人有沒有信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等的貸款呢？,2,沒有跳答G8,
103,ques103.pdf,G7-1,請問您個人的信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等總共借了多少錢？,1,未滿5 萬元,
103,ques103.pdf,G7-1,請問您個人的信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等總共借了多少錢？,2,5 萬元-未滿10 萬元,
103,ques103.pdf,G7-1,請問您個人的信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等總共借了多少錢？,3,10 萬元-未滿 15 萬元,
103,ques103.pdf,G7-1,請問您個人的信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等總共借了多少錢？,4,15 萬元-未滿20 萬元,
103,ques103.pdf,G7-1,請問您個人的信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等總共借了多少錢？,5,20 萬元-未滿25 萬元,
103,ques103.pdf,G7-1,請問您個人的信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等總共借了多少錢？,6,25 萬元-未滿 30 萬元,
103,ques103.pdf,G7-1,請問您個人的信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等總共借了多少錢？,7,30 萬元-未滿35 萬元,
103,ques103.pdf,G7-1,請問您個人的信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等總共借了多少錢？,8,35 萬元-未滿40 萬元,
103,ques103.pdf,G7-1,請問您個人的信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等總共借了多少錢？,9,40 萬元-未滿 45 萬元,
103,ques103.pdf,G7-1,請問您個人的信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等總共借了多少錢？,10,45 萬元-未滿50萬元,
103,ques103.pdf,G7-1,請問您個人的信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等總共借了多少錢？,11,50 萬元-未滿60萬元,
103,ques103.pdf,G7-1,請問您個人的信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等總共借了多少錢？,12,60 萬元-未滿70萬元,
103,ques103.pdf,G7-1,請問您個人的信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等總共借了多少錢？,13,70 萬元-未滿80萬元,
103,ques103.pdf,G7-1,請問您個人的信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等總共借了多少錢？,14,80 萬元-未滿90萬元,
103,ques103.pdf,G7-1,請問您個人的信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等總共借了多少錢？,15,90 萬元-未滿100萬元,
103,ques103.pdf,G7-1,請問您個人的信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等總共借了多少錢？,16,100 萬元及以上，請記錄______________萬元,
103,ques103.pdf,G7-2,請問您個人每個月要繳納的信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等的貸,1,"2,999",
103,ques103.pdf,G7-2,請問您個人每個月要繳納的信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等的貸,2,"3,000-4,999 元",
103,ques103.pdf,G7-2,請問您個人每個月要繳納的信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等的貸,3,"5,000-6,999 元",
103,ques103.pdf,G7-2,請問您個人每個月要繳納的信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等的貸,4,"7,000-9,999 元",
103,ques103.pdf,G7-2,請問您個人每個月要繳納的信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等的貸,5,"10,000-11,999 元",
103,ques103.pdf,G7-2,請問您個人每個月要繳納的信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等的貸,6,"12,000-14,999 元",
103,ques103.pdf,G7-2,請問您個人每個月要繳納的信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等的貸,7,"15,000-19,999 元",
103,ques103.pdf,G7-2,請問您個人每個月要繳納的信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等的貸,8,"20,000-24,999 元",
103,ques103.pdf,G7-2,請問您個人每個月要繳納的信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等的貸,9,"25,000-29,999 元",
103,ques103.pdf,G7-2,請問您個人每個月要繳納的信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等的貸,10,"30,000-39,999 元",
103,ques103.pdf,G7-2,請問您個人每個月要繳納的信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等的貸,11,"40,000-49,999 元",
103,ques103.pdf,G7-2,請問您個人每個月要繳納的信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等的貸,12,"50,000-59,999 元",
103,ques103.pdf,G7-2,請問您個人每個月要繳納的信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等的貸,13,"60,000-69,999 元",
103,ques103.pdf,G7-2,請問您個人每個月要繳納的信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等的貸,14,"70,000 元及以上，請記錄______________元",
103,ques103.pdf,G8,請問您有沒有向親友、雇主、店家等借錢、預支薪水或賒帳等情形？,1,有  (2)沒有跳答 H部分,
103,ques103.pdf,G8-1,請問您借錢、預支薪水、賒帳的金額大約多少？,1,999 元及以下,
103,ques103.pdf,G8-1,請問您借錢、預支薪水、賒帳的金額大約多少？,2,"1,000-2,999 元",
103,ques103.pdf,G8-1,請問您借錢、預支薪水、賒帳的金額大約多少？,3,"3,000-4,999 元",
103,ques103.pdf,G8-1,請問您借錢、預支薪水、賒帳的金額大約多少？,4,"5,000-6,999 元",
103,ques103.pdf,G8-1,請問您借錢、預支薪水、賒帳的金額大約多少？,5,"7,000-9,999 元",
103,ques103.pdf,G8-1,請問您借錢、預支薪水、賒帳的金額大約多少？,6,"10,000-14,999 元",
103,ques103.pdf,G8-1,請問您借錢、預支薪水、賒帳的金額大約多少？,7,"15,000-19,999 元",
103,ques103.pdf,G8-1,請問您借錢、預支薪水、賒帳的金額大約多少？,8,"20,000-29,999 元",
103,ques103.pdf,G8-1,請問您借錢、預支薪水、賒帳的金額大約多少？,9,"30,000-39,999 元",
103,ques103.pdf,G8-1,請問您借錢、預支薪水、賒帳的金額大約多少？,10,"40,000-49,999 元",
103,ques103.pdf,G8-1,請問您借錢、預支薪水、賒帳的金額大約多少？,11,"50,000-59,999 元",
103,ques103.pdf,G8-1,請問您借錢、預支薪水、賒帳的金額大約多少？,12,"60,000-69,999 元",
103,ques103.pdf,G8-1,請問您借錢、預支薪水、賒帳的金額大約多少？,13,"70,000-79,999 元",
103,ques103.pdf,G8-1,請問您借錢、預支薪水、賒帳的金額大約多少？,14,"80,000-89,999 元",
103,ques103.pdf,G8-1,請問您借錢、預支薪水、賒帳的金額大約多少？,15,"90,000-99,999 元",
103,ques103.pdf,G8-1,請問您借錢、預支薪水、賒帳的金額大約多少？,16,"100,000 元及以上，請記錄_________________元",
103,ques103.pdf,G8-2,請問您是用何種方式還款？,,,no_coded_option_detected
103,ques103.pdf,H1,請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農林漁業或自己做生意等」,1,"9,999 元及以下",
103,ques103.pdf,H1,請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農林漁業或自己做生意等」,2,"10,000-14,999 元",
103,ques103.pdf,H1,請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農林漁業或自己做生意等」,3,"15,000-19,999 元",
103,ques103.pdf,H1,請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農林漁業或自己做生意等」,4,"20,000-24,999 元",
103,ques103.pdf,H1,請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農林漁業或自己做生意等」,5,"25,000-29,999 元",
103,ques103.pdf,H1,請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農林漁業或自己做生意等」,6,"30,000-39,999 元",
103,ques103.pdf,H1,請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農林漁業或自己做生意等」,7,"40,000-49,999 元",
103,ques103.pdf,H1,請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農林漁業或自己做生意等」,8,"50,000-59,999 元",
103,ques103.pdf,H1,請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農林漁業或自己做生意等」,9,"60,000-69,999 元",
103,ques103.pdf,H1,請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農林漁業或自己做生意等」,10,"70,000-79,999 元",
