data_year,integrated_var,harmonized_code,harmonized_label,frequency
2006,EXP_HOUSING_UTIL,10,"20,000-29,999 元",73
2006,EXP_HOUSING_UTIL,11,"30,000-39,999 元",9
2006,EXP_HOUSING_UTIL,12,"40,000-49,999 元",4
2006,EXP_HOUSING_UTIL,13,"50,000-59,999 元",2
2006,EXP_HOUSING_UTIL,16,沒有這項支出,51
2006,EXP_HOUSING_UTIL,NA,NA,412
2006,EXP_LOAN_INTEREST,NA,"1,000-1,999元",37
2006,EXP_LOAN_INTEREST,NA,"10,000-14,999元",341
2006,EXP_LOAN_INTEREST,NA,"15,000-19,999元",158
2006,EXP_LOAN_INTEREST,NA,"2,000-2,999元",134
2006,EXP_LOAN_INTEREST,NA,"20,000-29,999元",127
2006,EXP_LOAN_INTEREST,NA,"3,000-3,999元",225
2006,EXP_LOAN_INTEREST,NA,"30,000元及以上，請記錄____元",8
2006,EXP_LOAN_INTEREST,NA,30000,4
2006,EXP_LOAN_INTEREST,NA,"4,000-4,999元",105
2006,EXP_LOAN_INTEREST,NA,"5,000-6,999元",186
2006,EXP_LOAN_INTEREST,NA,"7,000-9,999元",854
2006,EXP_LOAN_INTEREST,NA,999元及以下,39
2006,EXP_LOAN_INTEREST,NA,不知道/拒答,206
2006,EXP_LOAN_INTEREST,NA,沒有這項支出,3589
2006,EXP_MEDICAL,1,999元及以下,1829
2006,EXP_MEDICAL,3,"1,000-1,999 元",911
2006,EXP_MEDICAL,4,"2,000-2,999 元",601
2006,EXP_MEDICAL,5,"3,000-3,999 元",366
2006,EXP_MEDICAL,6,"4,000-4,999 元",210
2006,EXP_MEDICAL,7,"5,000-6,999 元",341
2006,EXP_MEDICAL,8,"7,000-9,999 元",335
2006,EXP_MEDICAL,9,"10,000-14,999 元",174
2006,EXP_MEDICAL,10,"15,000-19,999 元",41
2006,EXP_MEDICAL,11,"20,000-29,999 元",23
2006,EXP_MEDICAL,12,"30,000 元及以上，請記錄________元",7
2006,EXP_MEDICAL,13,沒有這項支出,444
2006,EXP_MEDICAL,NA,NA,731
2006,EXP_OTHER,NA,"1,000-1,999元",556
2006,EXP_OTHER,NA,"10,000-14,999元",8
2006,EXP_OTHER,NA,"15,000-19,999元",1
2006,EXP_OTHER,NA,"2,000-2,999元",285
2006,EXP_OTHER,NA,"20,000-29,999元",1
2006,EXP_OTHER,NA,"3,000-3,999元",83
2006,EXP_OTHER,NA,"4,000-4,999元",47
2006,EXP_OTHER,NA,"5,000-6,999元",30
2006,EXP_OTHER,NA,"7,000-9,999元",12
2006,EXP_OTHER,NA,999元及以下,1067
2006,EXP_OTHER,NA,不知道/拒答,168
2006,EXP_OTHER,NA,沒有這項支出,3755
2006,EXP_TAX_INS_GIFT,1,999 元及以下,537
2006,EXP_TAX_INS_GIFT,2,"1,000-1,999元",730
2006,EXP_TAX_INS_GIFT,3,"2,000-2,999 元",866
2006,EXP_TAX_INS_GIFT,6,"3,000-3,999 元",731
2006,EXP_TAX_INS_GIFT,7,"4,000-4,999 元",532
2006,EXP_TAX_INS_GIFT,8,"5,000-6,999 元",804
2006,EXP_TAX_INS_GIFT,9,"7,000-9,999 元",403
2006,EXP_TAX_INS_GIFT,10,"10,000-14,999 元",19
2006,EXP_TAX_INS_GIFT,11,"15,000-19,999 元",3
2006,EXP_TAX_INS_GIFT,12,"20,000-29,999 元",1
2006,EXP_TAX_INS_GIFT,14,沒有這項支出,164
2006,EXP_TAX_INS_GIFT,NA,NA,1223
2006,EXP_TOTAL_REPORTED,NA,NA,6013
2006,EXP_TRANSPORT_COMM,1,999 元及以下,769
2006,EXP_TRANSPORT_COMM,2,"1,000-1,999 元",775
2006,EXP_TRANSPORT_COMM,3,"2,000-2,999 元",764
2006,EXP_TRANSPORT_COMM,4,"3,000-3,999 元",618
2006,EXP_TRANSPORT_COMM,5,"4,000-4,999 元",470
2006,EXP_TRANSPORT_COMM,6,"5,000-6,999 元",899
2006,EXP_TRANSPORT_COMM,7,"7,000-9,999 元",516
2006,EXP_TRANSPORT_COMM,8,"10,000-14,999 元",415
2006,EXP_TRANSPORT_COMM,9,"15,000-19,999 元",130
2006,EXP_TRANSPORT_COMM,10,"20,000-29,999 元",11
2006,EXP_TRANSPORT_COMM,11,"30,000 元及以上，請記錄________元",2
2006,EXP_TRANSPORT_COMM,12,沒有這項支出,42
2006,EXP_TRANSPORT_COMM,NA,NA,602
2006,EXP_TRAVEL,NA,"1,000-1,999元",243
2006,EXP_TRAVEL,NA,"10,000-14,999元",14
2006,EXP_TRAVEL,NA,"15,000-19,999元",7
2006,EXP_TRAVEL,NA,"2,000-2,999元",168
2006,EXP_TRAVEL,NA,"20,000-29,999元",7
2006,EXP_TRAVEL,NA,"3,000-3,999元",72
2006,EXP_TRAVEL,NA,"4,000-4,999元",99
2006,EXP_TRAVEL,NA,"5,000-6,999元",115
2006,EXP_TRAVEL,NA,50000,2
2006,EXP_TRAVEL,NA,60000,1
2006,EXP_TRAVEL,NA,"7,000-9,999元",11
2006,EXP_TRAVEL,NA,999元及以下,361
2006,EXP_TRAVEL,NA,不知道/拒答,82
2006,EXP_TRAVEL,NA,沒有這項支出,4831
2010,EXP_ALCOHOL,1,999 元及以下,1050
2010,EXP_ALCOHOL,3,"1,000-1,999 元",917
2010,EXP_ALCOHOL,4,"2,000-2,999 元",548
2010,EXP_ALCOHOL,5,"3,000-3,999 元",351
2010,EXP_ALCOHOL,6,"4,000-4,999 元",107
2010,EXP_ALCOHOL,7,"5,000-6,999 元",173
2010,EXP_ALCOHOL,8,"7,000-9,999 元",62
2010,EXP_ALCOHOL,9,"10,000-14,999 元",34
2010,EXP_ALCOHOL,10,"15,000-19,999 元",8
2010,EXP_ALCOHOL,11,"20,000-29,999 元",2
2010,EXP_ALCOHOL,12,"30,000 元及以上，請記錄________元",6
2010,EXP_ALCOHOL,13,沒有這項支出,1762
2010,EXP_ALCOHOL,NA,NA,7
2010,EXP_BOOKS,NA,NA,5027
2010,EXP_CARE,0,沒有這項支出,4134
2010,EXP_CARE,NA,1000 - 1999元,219
2010,EXP_CARE,NA,10000 - 14999元,52
2010,EXP_CARE,NA,15000 - 19999元,12
2010,EXP_CARE,NA,2000 - 2999元,170
2010,EXP_CARE,NA,20000 - 29999元,17
2010,EXP_CARE,NA,3000 - 3999元,102
2010,EXP_CARE,NA,30000 元及以上,8
2010,EXP_CARE,NA,4000 - 4999元,47
2010,EXP_CARE,NA,5000 - 6999元,82
2010,EXP_CARE,NA,7000 - 9999元,23
2010,EXP_CARE,NA,999 元及以下,156
2010,EXP_CARE,NA,未回答,5
2010,EXP_CLEANING,0,沒有這項支出,4446
2010,EXP_CLEANING,1,999 元及以下,463
2010,EXP_CLEANING,2,"1,000-1,999 元",61
