Survey Year,sample_definition,Variable,Category,Count,Percentage,Missing N,Missing %
2002,full_sample,RACE,鄒族,187,0.01426065736292229,0,0
2002,full_sample,RACE,阿美族,4931,0.3760390452222985,0,0
2002,full_sample,RACE,雅美族/達悟族,124,0.009456264775413711,0,0
2002,full_sample,RACE,魯凱族,336,0.02562342713337909,0,0
2002,full_sample,RENT,"1,000-2,999元",149,0.06498037505451373,10820,0.8251353618546481
2002,full_sample,RENT,"10,000-19,999元",489,0.2132577409507196,10820,0.8251353618546481
2002,full_sample,RENT,"20,000元以上",43,0.01875272568687309,10820,0.8251353618546481
2002,full_sample,RENT,"3,000-4,999元",355,0.15481901439162668,10820,0.8251353618546481
2002,full_sample,RENT,"5,000-6,999元",484,0.21107719145224596,10820,0.8251353618546481
2002,full_sample,RENT,"7,000-9,999元",497,0.21674662014827736,10820,0.8251353618546481
2002,full_sample,RENT,不需要支付租金,126,0.054949847361535104,10820,0.8251353618546481
2002,full_sample,RENT,拒答,43,0.01875272568687309,10820,0.8251353618546481
2002,full_sample,RENT,"未滿1,000元",107,0.04666375926733537,10820,0.8251353618546481
2002,full_sample,RESPONDENT_UNIT,economic_household_head,13113,1,0,0
2002,full_sample,RESPONDENT_UNIT_SOURCE,91年問卷首頁：訪問對象為經濟戶長,13113,1,0,0
2006,full_sample,AGE_GROUP,15-19歲,309,0.051388657907866286,0,0
2006,full_sample,AGE_GROUP,20-29歲,710,0.11807749875270247,0,0
2006,full_sample,AGE_GROUP,30-39歲,1164,0.1935805754199235,0,0
2006,full_sample,AGE_GROUP,40-49歲,1453,0.24164310660236155,0,0
2006,full_sample,AGE_GROUP,50-59歲,1201,0.19973390986196574,0,0
2006,full_sample,AGE_GROUP,60歲以上,1176,0.19557625145518046,0,0
2006,full_sample,AGE_GROUP_HARMONIZED,15-19歲,309,0.051388657907866286,0,0
2006,full_sample,AGE_GROUP_HARMONIZED,20-29歲,710,0.11807749875270247,0,0
2006,full_sample,AGE_GROUP_HARMONIZED,30-39歲,1164,0.1935805754199235,0,0
2006,full_sample,AGE_GROUP_HARMONIZED,40-49歲,1453,0.24164310660236155,0,0
2006,full_sample,AGE_GROUP_HARMONIZED,50-59歲,1201,0.19973390986196574,0,0
2006,full_sample,AGE_GROUP_HARMONIZED,60歲以上,1176,0.19557625145518046,0,0
2006,full_sample,AGE_MEASURE_TYPE,age_group,6013,1,0,0
2006,full_sample,EDU,不知道/拒答,11,0.0018293696989855313,0,0
2006,full_sample,EDU,不識字/自修,491,0.08165641110926326,0,0
2006,full_sample,EDU,國(初)中,1120,0.18626309662398138,0,0
2006,full_sample,EDU,國小,1767,0.2938632961915849,0,0
2006,full_sample,EDU,專科以上,752,0.12506236487610178,0,0
2006,full_sample,EDU,高中職,1872,0.31132546150008317,0,0
2006,full_sample,EXP_ALCOHOL_EXPENDITURE,"1,000-1,999 元",961,0.16972801130342635,351,0.05837352403126559
2006,full_sample,EXP_ALCOHOL_EXPENDITURE,"10,000-14,999 元",2,3.5323207347227127e-4,351,0.05837352403126559
2006,full_sample,EXP_ALCOHOL_EXPENDITURE,"15,000-19,999 元",3,5.298481102084069e-4,351,0.05837352403126559
2006,full_sample,EXP_ALCOHOL_EXPENDITURE,"2,000-2,999 元",1140,0.20134228187919462,351,0.05837352403126559
2006,full_sample,EXP_ALCOHOL_EXPENDITURE,"20,000-29,999 元",4,7.064641469445425e-4,351,0.05837352403126559
2006,full_sample,EXP_ALCOHOL_EXPENDITURE,"3,000-3,999 元",36,0.006358177322500883,351,0.05837352403126559
2006,full_sample,EXP_ALCOHOL_EXPENDITURE,"4,000-4,999 元",217,0.03832567997174143,351,0.05837352403126559
2006,full_sample,EXP_ALCOHOL_EXPENDITURE,"5,000-6,999 元",132,0.023313316849169905,351,0.05837352403126559
2006,full_sample,EXP_ALCOHOL_EXPENDITURE,"7,000-9,999 元",29,0.005121865065347933,351,0.05837352403126559
2006,full_sample,EXP_ALCOHOL_EXPENDITURE,999元及以下,972,0.17167078770752384,351,0.05837352403126559
2006,full_sample,EXP_ALCOHOL_EXPENDITURE,沒有這項支出,2166,0.3825503355704698,351,0.05837352403126559
2006,full_sample,EXP_CARE_EXPENDITURE,"1,000-1,999元",108,0.01796108431731249,0,0
2006,full_sample,EXP_CARE_EXPENDITURE,"10,000-14,999元",29,0.004822883751870947,0,0
2006,full_sample,EXP_CARE_EXPENDITURE,"15,000-19,999元",7,0.0011641443538998836,0,0
2006,full_sample,EXP_CARE_EXPENDITURE,"2,000-2,999元",84,0.013969732246798603,0,0
2006,full_sample,EXP_CARE_EXPENDITURE,"20,000-29,999元",4,6.652253450856477e-4,0,0
2006,full_sample,EXP_CARE_EXPENDITURE,"3,000-3,999元",178,0.029602527856311324,0,0
2006,full_sample,EXP_CARE_EXPENDITURE,"30,000元及以上，請記錄____元",1,1.6630633627141194e-4,0,0
2006,full_sample,EXP_CARE_EXPENDITURE,"4,000-4,999元",63,0.010477299185098952,0,0
2006,full_sample,EXP_CARE_EXPENDITURE,"5,000-6,999元",34,0.005654415433228006,0,0
2006,full_sample,EXP_CARE_EXPENDITURE,"7,000-9,999元",33,0.005488109096956594,0,0
2006,full_sample,EXP_CARE_EXPENDITURE,999元及以下,115,0.01912522867121237,0,0
2006,full_sample,EXP_CARE_EXPENDITURE,不知道/拒答,71,0.011807749875270248,0,0
