sample_definition,Survey Year,City,County,Sample N
full_sample,2002,臺東縣,蘭嶼鄉,83
full_sample,2002,臺東縣,達仁鄉,124
full_sample,2002,臺東縣,金峰鄉,82
full_sample,2002,臺東縣,長濱鄉,153
full_sample,2002,臺東縣,關山鎮,69
full_sample,2002,臺東縣,鹿野鄉,78
full_sample,2002,花蓮縣,光復鄉,213
full_sample,2002,花蓮縣,卓溪鄉,140
full_sample,2002,花蓮縣,吉安鄉,380
full_sample,2002,花蓮縣,壽豐鄉,179
full_sample,2002,花蓮縣,富里鄉,54
full_sample,2002,花蓮縣,新城鄉,149
full_sample,2002,花蓮縣,玉里鎮,237
full_sample,2002,花蓮縣,瑞穗鄉,145
full_sample,2002,花蓮縣,秀林鄉,353
full_sample,2002,花蓮縣,花蓮市,271
full_sample,2002,花蓮縣,萬榮鄉,190
full_sample,2002,花蓮縣,豐濱鄉,131
full_sample,2002,花蓮縣,鳳林鎮,65
full_sample,2002,苗栗縣,南庄鄉,63
full_sample,2002,苗栗縣,泰安鄉,112
full_sample,2002,苗栗縣,獅潭鄉,5
full_sample,2002,苗栗縣,竹南鎮後龍鎮造橋鄉,52
full_sample,2002,苗栗縣,苗栗市,53
full_sample,2002,苗栗縣,頭份鎮,52
full_sample,2002,連江縣,未知地區,9
full_sample,2002,金門縣,未知地區,27
full_sample,2002,高雄市,未知地區,302
full_sample,2002,高雄縣,三民鄉,67
full_sample,2002,高雄縣,六龜鄉美濃鎮,57
full_sample,2002,高雄縣,大寮鄉,56
full_sample,2002,高雄縣,大樹鄉仁武鄉,53
full_sample,2002,高雄縣,岡山鎮,54
full_sample,2002,高雄縣,林園鄉鳥松鄉,47
full_sample,2002,高雄縣,桃源鄉,101
full_sample,2002,高雄縣,茂林鄉,46
full_sample,2002,高雄縣,鳳山市,53
full_sample,2006,南投縣,中寮鄉,1
full_sample,2006,南投縣,仁愛鄉,171
full_sample,2006,南投縣,信義鄉,145
full_sample,2006,南投縣,南投市,5
full_sample,2006,南投縣,國姓鄉,2
full_sample,2006,南投縣,埔里鎮,35
full_sample,2006,南投縣,水里鄉,4
full_sample,2006,南投縣,草屯鎮,5
full_sample,2006,南投縣,集集鎮,1
full_sample,2006,南投縣,魚池鄉,9
full_sample,2006,嘉義市,東區,7
full_sample,2006,嘉義縣,中埔鄉,2
full_sample,2006,嘉義縣,大埔鄉,1
full_sample,2006,嘉義縣,布袋鎮,1
full_sample,2006,嘉義縣,新港鄉,11
full_sample,2006,嘉義縣,朴子市,1
full_sample,2006,嘉義縣,東石鄉,1
full_sample,2006,嘉義縣,民雄鄉,2
full_sample,2006,嘉義縣,阿里山,30
full_sample,2006,基隆市,七堵區,4
full_sample,2006,基隆市,中山區,1
full_sample,2006,基隆市,中正區,4
full_sample,2006,基隆市,信義區,3
full_sample,2006,基隆市,安樂區,1
full_sample,2006,基隆市,暖暖區,1
full_sample,2006,宜蘭縣,三星鄉,5
full_sample,2006,宜蘭縣,五結鄉,3
full_sample,2006,宜蘭縣,冬山鄉,2
full_sample,2006,宜蘭縣,南澳鄉,92
full_sample,2006,宜蘭縣,員山鄉,4
full_sample,2006,宜蘭縣,壯圍鄉,3
full_sample,2006,宜蘭縣,大同鄉,128
