data_year,survey_tag,main_var,supplement_var,rent_before_main,rent_before_supplement,rent_after_imputation,rent_source,rent_harmonized,frequency
2014,103,g2,g2o,"20,000元及以上，請記錄___元",24000,"20,000元及以上，請記錄___元",main,NA,3
2014,103,g2,g2o,"20,000元及以上，請記錄___元",25000,"20,000元及以上，請記錄___元",main,NA,12
2014,103,g2,g2o,"20,000元及以上，請記錄___元",25400,"20,000元及以上，請記錄___元",main,NA,1
2014,103,g2,g2o,"20,000元及以上，請記錄___元",28000,"20,000元及以上，請記錄___元",main,NA,1
2014,103,g2,g2o,"20,000元及以上，請記錄___元",30000,"20,000元及以上，請記錄___元",main,NA,6
2014,103,g2,g2o,"20,000元及以上，請記錄___元",35000,"20,000元及以上，請記錄___元",main,NA,1
2014,103,g2,g2o,"20,000元及以上，請記錄___元",40000,"20,000元及以上，請記錄___元",main,NA,1
2014,103,g2,g2o,"3,000-4,999元",NA,"3,000-4,999元",main,"3,000-4,999元",120
2014,103,g2,g2o,"5,000-5,999元",NA,"5,000-5,999元",main,"5,000-6,999元",132
2014,103,g2,g2o,"6,000-6,999元",NA,"6,000-6,999元",main,"5,000-6,999元",111
2014,103,g2,g2o,"7,000-7,999元",NA,"7,000-7,999元",main,"7,000-9,999元",160
2014,103,g2,g2o,"8,000-8,999元",NA,"8,000-8,999元",main,"7,000-9,999元",167
2014,103,g2,g2o,"9,000-9,999元",NA,"9,000-9,999元",main,"7,000-9,999元",69
2014,103,g2,g2o,999元及以下,NA,999元及以下,main,"未滿1,000元",23
2014,103,g2,g2o,不需要支付租金,NA,不需要支付租金,main,不需要支付租金,60
2014,103,g2,g2o,NA,NA,NA,missing,NA,3950
2017,106,h2,h2o,"1,000元~未滿3,000元",,"1,000元~未滿3,000元",main,NA,47
2017,106,h2,h2o,"10,000元~未滿15,000元",,"10,000元~未滿15,000元",main,NA,284
2017,106,h2,h2o,"15,000元~未滿20,000元",,"15,000元~未滿20,000元",main,NA,94
2017,106,h2,h2o,"20,000元以上",,"20,000元以上",main,"20,000元以上",1
2017,106,h2,h2o,"20,000元以上",20000,"20,000元以上",main,"20,000元以上",9
2017,106,h2,h2o,"20,000元以上",20500,"20,000元以上",main,"20,000元以上",1
2017,106,h2,h2o,"20,000元以上",21000,"20,000元以上",main,"20,000元以上",3
2017,106,h2,h2o,"20,000元以上",22000,"20,000元以上",main,"20,000元以上",3
2017,106,h2,h2o,"20,000元以上",23000,"20,000元以上",main,"20,000元以上",2
2017,106,h2,h2o,"20,000元以上",24000,"20,000元以上",main,"20,000元以上",3
2017,106,h2,h2o,"20,000元以上",25000,"20,000元以上",main,"20,000元以上",4
2017,106,h2,h2o,"20,000元以上",26000,"20,000元以上",main,"20,000元以上",1
2017,106,h2,h2o,"20,000元以上",27000,"20,000元以上",main,"20,000元以上",1
2017,106,h2,h2o,"20,000元以上",28000,"20,000元以上",main,"20,000元以上",2
2017,106,h2,h2o,"20,000元以上",30000,"20,000元以上",main,"20,000元以上",5
2017,106,h2,h2o,"20,000元以上",32000,"20,000元以上",main,"20,000元以上",1
2017,106,h2,h2o,"20,000元以上",33000,"20,000元以上",main,"20,000元以上",1
2017,106,h2,h2o,"20,000元以上",35000,"20,000元以上",main,"20,000元以上",2
2017,106,h2,h2o,"20,000元以上",38000,"20,000元以上",main,"20,000元以上",2
2017,106,h2,h2o,"3,000元~未滿5,000元",,"3,000元~未滿5,000元",main,NA,124
2017,106,h2,h2o,"5,000元~未滿6,000元",,"5,000元~未滿6,000元",main,NA,138
2017,106,h2,h2o,"6,000元~未滿7,000元",,"6,000元~未滿7,000元",main,NA,140
2017,106,h2,h2o,"7,000元~未滿8,000元",,"7,000元~未滿8,000元",main,NA,115
2017,106,h2,h2o,"8,000元~未滿9,000元",,"8,000元~未滿9,000元",main,NA,110
2017,106,h2,h2o,"9,000元~未滿10,000元",,"9,000元~未滿10,000元",main,NA,102
2017,106,h2,h2o,不需要支付租金,,不需要支付租金,main,不需要支付租金,27
2017,106,h2,h2o,"未滿1,000元",,"未滿1,000元",main,"未滿1,000元",23
2017,106,h2,h2o,NA,,,missing,NA,4057
2021,110,c2,c2o,"1,000元-未滿3,000元",NA,"1,000元-未滿3,000元",main,"1,000-2,999元",37
2021,110,c2,c2o,"10,000元-未滿15,000元",NA,"10,000元-未滿15,000元",main,"10,000-19,999元",340
2021,110,c2,c2o,"15,000元-未滿20,000元",NA,"15,000元-未滿20,000元",main,"10,000-19,999元",130
2021,110,c2,c2o,"20,000元以上",20000,"20,000元以上",main,"20,000元以上",17
2021,110,c2,c2o,"20,000元以上",21000,"20,000元以上",main,"20,000元以上",4
2021,110,c2,c2o,"20,000元以上",22000,"20,000元以上",main,"20,000元以上",7
2021,110,c2,c2o,"20,000元以上",23000,"20,000元以上",main,"20,000元以上",8
2021,110,c2,c2o,"20,000元以上",24000,"20,000元以上",main,"20,000元以上",1
2021,110,c2,c2o,"20,000元以上",25000,"20,000元以上",main,"20,000元以上",3
2021,110,c2,c2o,"20,000元以上",26000,"20,000元以上",main,"20,000元以上",2
2021,110,c2,c2o,"20,000元以上",26500,"20,000元以上",main,"20,000元以上",2
2021,110,c2,c2o,"20,000元以上",28000,"20,000元以上",main,"20,000元以上",3
2021,110,c2,c2o,"20,000元以上",30000,"20,000元以上",main,"20,000元以上",2
2021,110,c2,c2o,"20,000元以上",33000,"20,000元以上",main,"20,000元以上",1
2021,110,c2,c2o,"20,000元以上",35000,"20,000元以上",main,"20,000元以上",3
2021,110,c2,c2o,"20,000元以上",36000,"20,000元以上",main,"20,000元以上",1
2021,110,c2,c2o,"20,000元以上",40000,"20,000元以上",main,"20,000元以上",1
2021,110,c2,c2o,"20,000元以上",50000,"20,000元以上",main,"20,000元以上",3
2021,110,c2,c2o,"20,000元以上",64000,"20,000元以上",main,"20,000元以上",1
2021,110,c2,c2o,"20,000元以上",65000,"20,000元以上",main,"20,000元以上",1
2021,110,c2,c2o,"3,000元-未滿5,000元",NA,"3,000元-未滿5,000元",main,"3,000-4,999元",96
2021,110,c2,c2o,"5,000元-未滿6,000元",NA,"5,000元-未滿6,000元",main,"5,000-6,999元",81
2021,110,c2,c2o,"6,000元-未滿7,000元",NA,"6,000元-未滿7,000元",main,"5,000-6,999元",94
2021,110,c2,c2o,"7,000元-未滿8,000元",NA,"7,000元-未滿8,000元",main,"7,000-9,999元",103
2021,110,c2,c2o,"8,000元-未滿9,000元",NA,"8,000元-未滿9,000元",main,"7,000-9,999元",71
2021,110,c2,c2o,"9,000元-未滿10,000元",NA,"9,000元-未滿10,000元",main,"7,000-9,999元",86
2021,110,c2,c2o,不需要支付租金,NA,不需要支付租金,main,不需要支付租金,24
2021,110,c2,c2o,"未滿1,000元",NA,"未滿1,000元",main,"未滿1,000元",15
2021,110,c2,c2o,NA,40000,40000,supplement,"20,000元以上",1
2021,110,c2,c2o,NA,NA,NA,missing,NA,4271
