data_year,survey_tag,integrated_var,dataset_var,value_source,frequency,example_values
2014,103,EXP_FURNITURE,j7_8_2,source_question,2032,"1,000-1,999元;10,000-14,999元;15,000-19,999元;2,000-2,999元;20,000-29,999元"
2014,103,EXP_HOUSING_UTIL,j2,source_question,5214,"1,000-1,499元;1,500-1,999元;10,000-14,999元;15,000-19,999元;2,000-2,499元"
2014,103,EXP_LOAN_INTEREST,j7_5_2,indicator_no_zero,3925,沒有這項支出
2014,103,EXP_LOAN_INTEREST,j7_5_2,open_amount,55,30000
2014,103,EXP_LOAN_INTEREST,j7_5_2,source_question,1234,"1,000-1,999元;10,000-14,999元;15,000-19,999元;2,000-2,999元;20,000-29,999元"
2014,103,EXP_MEDICAL,j4,source_question,5214,"1,000-1,999元;10,000-14,999元;15,000-19,999元;2,000-2,999元;20,000-29,999元"
2014,103,EXP_OTHER,j7_10_2,indicator_no_zero,870,沒有這項支出
2014,103,EXP_OTHER,j7_10_2,open_amount,5,30000;35000;50000
2014,103,EXP_OTHER,j7_10_2,source_question,4339,"1,000-1,999元;10,000-14,999元;15,000-19,999元;2,000-2,999元;20,000-29,999元"
2014,103,EXP_TAX_INS_GIFT,j6,source_question,5214,"1,000-1,499元;1,500-1,999元;10,000-14,999元;15,000-19,999元;2,000-2,499元"
2014,103,EXP_TRANSPORT_COMM,j3,source_question,5214,"1,000-1,999元;10,000-14,999元;15,000-19,999元;2,000-2,999元;20,000-29,999元"
2014,103,EXP_TRAVEL,j7_4_2,indicator_no_zero,3851,沒有這項支出
2014,103,EXP_TRAVEL,j7_4_2,open_amount,12,30000;35000;50000;52000;60000
2014,103,EXP_TRAVEL,j7_4_2,source_question,1351,"1,000-1,999元;10,000-14,999元;15,000-19,999元;2,000-2,999元;20,000-29,999元"
2017,106,EXP_ALCOHOL,m5,source_question,5302,"1,000元~未滿2,000元;10,000元~未滿15,000元;15,000元~未滿20,000元;2,000元~未滿3,000元;20,000元~未滿30,000元"
2017,106,EXP_BOOKS,m7_3_2,indicator_no_zero,3757,沒有這項支出
2017,106,EXP_BOOKS,m7_3_2,open_amount,1,80000
2017,106,EXP_BOOKS,m7_3_2,source_question,1544,"1,000元~未滿2,000元;10,000元~未滿15,000元;2,000元~未滿3,000元;20,000元~未滿30,000元;3,000元~未滿4,000元"
2017,106,EXP_CARE,m7_9_2,indicator_no_zero,5041,沒有這項支出
2017,106,EXP_CARE,m7_9_2,open_amount,11,30000;33000;34000;35000;40000
2017,106,EXP_CARE,m7_9_2,source_question,250,"1,000元~未滿2,000元;10,000元~未滿15,000元;15,000元~未滿20,000元;2,000元~未滿3,000元;20,000元~未滿30,000元"
2017,106,EXP_CLEANING,m7_1_2,indicator_no_zero,5260,沒有這項支出
2017,106,EXP_CLEANING,m7_1_2,open_amount,1,32000
2017,106,EXP_CLEANING,m7_1_2,source_question,41,"1,000元~未滿2,000元;10,000元~未滿15,000元;2,000元~未滿3,000元;20,000元~未滿30,000元;3,000元~未滿4,000元"
2017,106,EXP_CLOTHING,m7_7_2,source_question,5302,"1,000元~未滿2,000元;10,000元~未滿15,000元;15,000元~未滿20,000元;2,000元~未滿3,000元;20,000元~未滿30,000元"
2017,106,EXP_DINING_LODGING,m7_6_2,indicator_no_zero,1837,沒有這項支出
2017,106,EXP_DINING_LODGING,m7_6_2,open_amount,24,30000;35000;40000;45000;50000
2017,106,EXP_DINING_LODGING,m7_6_2,source_question,3441,"1,000元~未滿2,000元;10,000元~未滿15,000元;15,000元~未滿20,000元;2,000元~未滿3,000元;20,000元~未滿30,000元"
2017,106,EXP_EDU_TUITION,m7_2_2,indicator_no_zero,3068,沒有這項支出
2017,106,EXP_EDU_TUITION,m7_2_2,open_amount,14,30000;31500;32000;33000;33333
2017,106,EXP_EDU_TUITION,m7_2_2,source_question,2220,"1,000元~未滿2,000元;10,000元~未滿15,000元;15,000元~未滿20,000元;2,000元~未滿3,000元;20,000元~未滿30,000元"
2017,106,EXP_FOOD,m1,source_question,5302,"10,000元~未滿12,000元;12,000元~未滿15,000元;15,000元~未滿20,000元;20,000元~未滿30,000元;3,000元~未滿5,000元"
2017,106,EXP_FURNITURE,m7_8_2,source_question,5302,"1,000元~未滿2,000元;10,000元~未滿15,000元;15,000元~未滿20,000元;2,000元~未滿3,000元;20,000元~未滿30,000元"
2017,106,EXP_HOUSING_UTIL,m2,source_question,5302,"1,000元~未滿1,500元;1,500元~未滿2,000元;10,000元~未滿15,000元;15,000元~未滿20,000元;2,000元~未滿2,500元"
2017,106,EXP_LOAN_INTEREST,m7_5_2,indicator_no_zero,3811,沒有這項支出
2017,106,EXP_LOAN_INTEREST,m7_5_2,open_amount,51,100000;135000;200000;30000;31000
2017,106,EXP_LOAN_INTEREST,m7_5_2,source_question,1440,"1,000元~未滿2,000元;10,000元~未滿15,000元;15,000元~未滿20,000元;2,000元~未滿3,000元;20,000元~未滿30,000元"
2017,106,EXP_MEDICAL,m4,source_question,5302,"1,000元~未滿2,000元;10,000元~未滿15,000元;15,000元~未滿20,000元;2,000元~未滿3,000元;20,000元~未滿30,000元"
2017,106,EXP_OTHER,m7_10_2,open_amount,4,100000;35000;36000;50000
2017,106,EXP_OTHER,m7_10_2,source_question,5298,"1,000元~未滿2,000元;10,000元~未滿15,000元;15,000元~未滿20,000元;2,000元~未滿3,000元;20,000元~未滿30,000元"
2017,106,EXP_TAX_INS_GIFT,m6,source_question,5302,"1,000元~未滿1,500元;1,500元~未滿2,000元;10,000元~未滿15,000元;15,000元~未滿20,000元;2,000元~未滿2,500元"
2017,106,EXP_TRANSPORT_COMM,m3,source_question,5302,"1,000元~未滿2,000元;10,000元~未滿15,000元;15,000元~未滿20,000元;2,000元~未滿3,000元;20,000元~未滿30,000元"
2017,106,EXP_TRAVEL,m7_4_2,indicator_no_zero,3748,沒有這項支出
2017,106,EXP_TRAVEL,m7_4_2,open_amount,17,100000;200000;30000;30514;35000
