ID,DATA_Y
2357904,2021
2358330,2021
2358469,2021
2359217,2021
2359944,2021
2362170,2021
2362250,2021
2362275,2021
2362335,2021
2362399,2021
2362428,2021
2362440,2021
2362896,2021
2362941,2021
2363184,2021
2363416,2021
2363720,2021
2363722,2021
2363807,2021
2363932,2021
2364004,2021
2364103,2021
2364216,2021
2364301,2021
2364743,2021
2365149,2021
2365996,2021
2366183,2021
2366387,2021
2366645,2021
2366666,2021
2366944,2021
2367009,2021
2367059,2021
2367306,2021
2367393,2021
2367721,2021
2367865,2021
2368016,2021
2368037,2021
2368133,2021
2368158,2021
2368159,2021
2368307,2021
2368403,2021
2372473,2021
2372594,2021
2372640,2021
2372661,2021
2373340,2021
2373804,2021
2374527,2021
2374617,2021
3329082,2021
3329222,2021
3329332,2021
3330072,2021
3330268,2021
3330873,2021
3332142,2021
3332612,2021
3334680,2021
3334835,2021
3334910,2021
3334913,2021
3334930,2021
3335910,2021
3336321,2021
3336402,2021
3336431,2021
3336493,2021
3336701,2021
3336735,2021
3336869,2021
3336929,2021
3337039,2021
3337321,2021
3337351,2021
3337357,2021
3337498,2021
3338039,2021
3338294,2021
3339272,2021
3340181,2021
3341689,2021
3341879,2021
3341923,2021
3342931,2021
3343025,2021
3343074,2021
3343165,2021
3343578,2021
3343994,2021
3344097,2021
3344488,2021
3344766,2021
3346618,2021
3346826,2021
3346999,2021
3347327,2021
3347972,2021
3348002,2021
3348794,2021
3349008,2021
3349998,2021
3350526,2021
3351744,2021
3352676,2021
3353062,2021
3353256,2021
3353811,2021
3353932,2021
3354096,2021
3355146,2021
3355237,2021
3355542,2021
3355573,2021
3355795,2021
3355817,2021
3356058,2021
3356460,2021
3356595,2021
3356739,2021
3356872,2021
3356932,2021
3357510,2021
3357563,2021
3357861,2021
3358133,2021
3358645,2021
3359017,2021
3359370,2021
3359482,2021
3359508,2021
3359785,2021
3359903,2021
3365103,2021
3365870,2021
3365888,2021
3366062,2021
3366514,2021
3366747,2021
3366909,2021
3366920,2021
3366969,2021
3367088,2021
3367101,2021
3367426,2021
3367990,2021
3368058,2021
3368092,2021
3368098,2021
3368113,2021
3368256,2021
3368319,2021
3368625,2021
3372508,2021
3372683,2021
3372875,2021
3373394,2021
3373559,2021
3373787,2021
4330043,2021
4330460,2021
4330930,2021
4331655,2021
4331683,2021
4332654,2021
4332969,2021
4333216,2021
4334066,2021
4334508,2021
4334631,2021
4334643,2021
4334766,2021
4335583,2021
4336050,2021
4336219,2021
4336512,2021
4336537,2021
4337298,2021
4337507,2021
4337726,2021
4338671,2021
4339198,2021
4339596,2021
4339989,2021
4340257,2021
4340801,2021
4341269,2021
4341273,2021
4342958,2021
4342989,2021
4343189,2021
4343402,2021
4343530,2021
4344182,2021
4344356,2021
4348090,2021
4348881,2021
4348949,2021
4348985,2021
4350041,2021
4350270,2021
4352672,2021
4352922,2021
4353245,2021
4353708,2021
4353933,2021
4354284,2021
4354326,2021
4355027,2021
4355078,2021
4355604,2021
4355979,2021
4356063,2021
4357044,2021
4357934,2021
4358566,2021
4358639,2021
4358718,2021
4358845,2021
4365057,2021
4365098,2021
4365954,2021
4367190,2021
4367648,2021
4367658,2021
4367868,2021
4368131,2021
4368231,2021
4368247,2021
4368285,2021
4368528,2021
4368566,2021
4368593,2021
4372433,2021
4372577,2021
4372668,2021
4372712,2021
4372879,2021
4373450,2021
4373594,2021
4373816,2021
4373842,2021
5333608,2021
5333689,2021
5334087,2021
5337524,2021
5364996,2021
5365020,2021
5365323,2021
5365508,2021
5365516,2021
5365522,2021
5365759,2021
5366074,2021
6333773,2021
6334156,2021
6337261,2021
6337269,2021
6337346,2021
6337597,2021
6337789,2021
6364566,2021
6365150,2021
6365584,2021
6365751,2021
7333159,2021
7333276,2021
7334107,2021
7337028,2021
7337449,2021
7337750,2021
7365825,2021
8333078,2021
8333932,2021
8334025,2021
8334165,2021
8337076,2021
8337817,2021
8364564,2021
8364694,2021
8365160,2021
8365466,2021
8365835,2021
9332674,2021
9332675,2021
9333167,2021
9333439,2021
9334189,2021
9337358,2021
9337547,2021
9337618,2021
9337732,2021
9365307,2021
9365420,2021
9365494,2021
9365810,2021
1287776,2021
1291115,2021
1291120,2021
1291173,2021
1291257,2021
1291289,2021
1291346,2021
1291444,2021
1291472,2021
1291517,2021
1291519,2021
1291521,2021
1291623,2021
1292081,2021
1292082,2021
1292284,2021
1292550,2021
1292569,2021
1292595,2021
1292621,2021
1296583,2021
1298202,2021
1298234,2021
1298321,2021
1299464,2021
2287815,2021
2288043,2021
2288115,2021
2288155,2021
2291080,2021
2291102,2021
2291141,2021
2291156,2021
2291200,2021
2291241,2021
2291243,2021
2291269,2021
2291278,2021
2291336,2021
2291345,2021
2291370,2021
2291374,2021
2291407,2021
2291428,2021
2291511,2021
2291531,2021
2291654,2021
2291937,2021
2291960,2021
2292045,2021
2292195,2021
2292295,2021
2292324,2021
2297651,2021
2298189,2021
2298614,2021
2298993,2021
3287903,2021
3287922,2021
3287967,2021
3288068,2021
3288180,2021
3288264,2021
3291468,2021
3291722,2021
3291925,2021
3292150,2021
3292246,2021
3292326,2021
3292402,2021
3292482,2021
3292526,2021
3292529,2021
3292782,2021
3295881,2021
3296097,2021
3296650,2021
3297742,2021
3297901,2021
3297918,2021
3298182,2021
3298524,2021
3298971,2021
4288441,2021
4291101,2021
4292548,2021
4292608,2021
4295839,2021
4296578,2021
4296591,2021
4298239,2021
4298408,2021
4298421,2021
4298755,2021
5287873,2021
5287954,2021
5288166,2021
5288216,2021
5288244,2021
5288255,2021
5288260,2021
5288464,2021
5291852,2021
5292202,2021
5292315,2021
5292424,2021
5296321,2021
5296744,2021
5296865,2021
5297302,2021
6288177,2021
6288299,2021
6288346,2021
6288390,2021
6288429,2021
6288468,2021
6288549,2021
6292209,2021
6292514,2021
6292683,2021
6295850,2021
6297138,2021
7287835,2021
