variable,label,type,source
h5,"請問您全家每個月用在支付「抽煙、喝酒、吃檳榔等」的費用是多少？【110年平均每個月的金 額】 □(1)未滿500元 □(2)500元-未滿1,000 元 □(3)1,000 元-未滿2,000元 □(4)2,000 元-未滿3,000元 □(5)3,000 元-未滿4,000元 □(6)4,000 元-未滿5,000元 □(7)5,000 元-未滿7,000元 □(8)7,000 元-未滿10,0",character,110
h5o,h5o,numeric,110
h6,"請問您全家每個月用在支付「繳各種稅、勞健保、農漁保險、買彩券、紅白包禮金、捐款」的費 用是多少？【110年平均每個月的金額，部分稅每年繳納一次請以12個月平均】 □(1)未滿1,000元 □(2)1,000 元-未滿1,500元 □(3)1,500 元-未滿2,000元 □(4)2,000 元-未滿2,500元 □(5)2,500 元-未滿3,000元 □(6)3,000 元-未滿4,000元 □",character,110
h6o,h6o,numeric,110
h7_1_1,除了以上的支出，請問您家庭110年有沒有以下的支出？【逐一提示選項，可複選】 全家每個月支付項目 有沒有支出 平均每個月支出金額(參考下表),character,110
h7_1_2,除了以上的支出，請問您家庭110年有沒有以下的支出？【逐一提示選項，可複選】 全家每個月支付項目 有沒有支出 平均每個月支出金額(參考下表),character,110
h7_2_1,除了以上的支出，請問您家庭110年有沒有以下的支出？【逐一提示選項，可複選】 全家每個月支付項目 有沒有支出 平均每個月支出金額(參考下表),character,110
h7_2_2,除了以上的支出，請問您家庭110年有沒有以下的支出？【逐一提示選項，可複選】 全家每個月支付項目 有沒有支出 平均每個月支出金額(參考下表),character,110
h7_2_2o,除了以上的支出，請問您家庭110年有沒有以下的支出？【逐一提示選項，可複選】 全家每個月支付項目 有沒有支出 平均每個月支出金額(參考下表),numeric,110
h7_3_1,除了以上的支出，請問您家庭110年有沒有以下的支出？【逐一提示選項，可複選】 全家每個月支付項目 有沒有支出 平均每個月支出金額(參考下表),character,110
h7_3_2,除了以上的支出，請問您家庭110年有沒有以下的支出？【逐一提示選項，可複選】 全家每個月支付項目 有沒有支出 平均每個月支出金額(參考下表),character,110
h7_4_1,除了以上的支出，請問您家庭110年有沒有以下的支出？【逐一提示選項，可複選】 全家每個月支付項目 有沒有支出 平均每個月支出金額(參考下表),character,110
h7_4_2,除了以上的支出，請問您家庭110年有沒有以下的支出？【逐一提示選項，可複選】 全家每個月支付項目 有沒有支出 平均每個月支出金額(參考下表),character,110
h7_4_2o,除了以上的支出，請問您家庭110年有沒有以下的支出？【逐一提示選項，可複選】 全家每個月支付項目 有沒有支出 平均每個月支出金額(參考下表),numeric,110
