sample_definition,survey_year,variable,valid_n,missing_n,missing_pct,mean,median,sd,min,max
full_sample,2014,INC_FAM_TRANSFER_INCOME,3345,1869,0.358457997698504,111.78609865470852,0,970.0704231180791,0,24999.5
full_sample,2014,INC_FAM_WORK_INCOME,3345,1869,0.358457997698504,62923.28041853513,54999.5,33127.22789518582,0,174999.5
full_sample,2014,INC_PERS_GOV_INCOME,5214,0,0,1436.29555044112,0,3279.9715436969104,0,34999.5
full_sample,2014,INC_PERS_INTEREST_INCOME,5214,0,0,179.66542002301495,0,1427.2603537929426,0,34999.5
full_sample,2014,INC_PERS_OTHER_INCOME,5214,0,0,220.54286536248563,0,2261.350316474902,0,84999.5
full_sample,2014,INC_PERS_RENT_INCOME,5214,0,0,181.23810893747603,0,2957.6844754452113,0,84999.5
full_sample,2014,INC_PERS_TRANSFER_INCOME,5214,0,0,164.53413885692368,0,1357.6725542678462,0,34999.5
full_sample,2014,INC_PERS_WORK_INCOME,5214,0,0,27366.28576908324,27499.5,20483.248279537656,0,174999.5
full_sample,2017,EXP_ALCOHOL_EXPENDITURE,5302,0,0,1958.647680120709,750,2798.8007107643575,0,25000
full_sample,2017,EXP_BOOKS_EXPENDITURE,5302,0,0,274.70765748774045,0,1329.6949719837926,0,80000
full_sample,2017,EXP_CARE_EXPENDITURE,5302,0,0,562.0358355337609,0,3489.99007703767,0,80414
full_sample,2017,EXP_CLEANING_EXPENDITURE,5302,0,0,61.10901546586194,0,1112.914082465413,0,32000
full_sample,2017,EXP_CLOTHING_EXPENDITURE,5302,0,0,1614.0135797812147,1500,1881.6787003565826,500,25000
full_sample,2017,EXP_DINING_LODGING_EXPENDITURE,5302,0,0,3430.1207091663523,1500,5557.5543235309515,0,70000
full_sample,2017,EXP_EDU_TUITION_EXPENDITURE,5302,0,0,2048.8179932101093,0,4406.822564217918,0,80000
full_sample,2017,EXP_FOOD_EXPENDITURE,5302,0,0,10170.878913617504,8500,7777.182386646685,1500,65000
full_sample,2017,EXP_FURNITURE_EXPENDITURE,5302,0,0,3530.3658996605054,2500,2924.86272112034,500,25000
full_sample,2017,EXP_HOUSING_UTIL_EXPENDITURE,5302,0,0,5185.165975103734,2750,6071.426871857824,0,75000
full_sample,2017,EXP_LOAN_INTEREST_EXPENDITURE,5302,0,0,2852.4141833270464,0,7626.710725284094,0,200000
full_sample,2017,EXP_MEDICAL_EXPENDITURE,5302,0,0,2088.787250094304,750,3641.3960659083864,0,35000
full_sample,2017,EXP_OTHER_EXPENDITURE,5302,0,0,2116.2768766503204,1500,2742.607333018144,500,100000
full_sample,2017,EXP_TAX_INS_GIFT_EXPENDITURE,5302,0,0,3596.614485099962,2250,4194.318471244241,0,35000
full_sample,2017,EXP_TOTAL_DERIVED_COMPLETE_EXPENDITURE,5302,0,0,45469.24311580536,39500,27620.997591057894,5000,357250
full_sample,2017,EXP_TOTAL_DERIVED_EXPENDITURE,5302,0,0,45469.24311580536,39500,27620.997591057894,5000,357250
full_sample,2017,EXP_TRANSPORT_COMM_EXPENDITURE,5302,0,0,4933.327046397586,3500,4837.379628832046,0,35000
full_sample,2017,EXP_TRAVEL_EXPENDITURE,5302,0,0,1045.9600150886458,0,4852.447427018605,0,200000
full_sample,2017,INC_FAM_GOV_INCOME,5302,0,0,2287.344398340249,0,4374.051886036667,0,35000
full_sample,2017,INC_FAM_INTEREST_INCOME,5302,0,0,353.07431158053566,0,1886.47050483549,0,35000
full_sample,2017,INC_FAM_OTHER_INCOME,5302,0,0,328.6495662014334,0,2535.6755819009177,0,75000
full_sample,2017,INC_FAM_RENT_INCOME,5302,0,0,285.26970954356847,0,3266.5141956585253,0,85000
full_sample,2017,INC_FAM_TOTAL_DERIVED_COMPLETE_INCOME,5302,0,0,58170.030177291585,55000,38265.607769057155,0,320000
full_sample,2017,INC_FAM_TOTAL_DERIVED_INCOME,5302,0,0,58170.030177291585,55000,38265.607769057155,0,320000
full_sample,2017,INC_FAM_TRANSFER_INCOME,5302,0,0,237.26895511127876,0,1629.0326975267858,0,35000
full_sample,2017,INC_FAM_WORK_INCOME,5302,0,0,54678.42323651452,45000,37496.467070246705,0,175000
full_sample,2017,INC_PERS_GOV_INCOME,5302,0,0,1472.9347416069409,0,3541.807494398316,0,35000
full_sample,2017,INC_PERS_INTEREST_INCOME,5302,0,0,273.8589211618257,0,1808.7358934496149,0,35000
full_sample,2017,INC_PERS_OTHER_INCOME,5302,0,0,313.56092040739344,0,2487.8484142110765,0,75000
full_sample,2017,INC_PERS_RENT_INCOME,5302,0,0,221.61448509996228,0,2848.5841749101082,0,85000
full_sample,2017,INC_PERS_TRANSFER_INCOME,5302,0,0,198.88721237268956,0,1300.7132716349013,0,35000
full_sample,2017,INC_PERS_WORK_INCOME,5302,0,0,30254.620897774425,27500,21819.23023640876,0,175000
full_sample,2021,EXP_ALCOHOL_EXPENDITURE,5409,0,0,2116.2876687003145,750,3243.3108522149587,0,35000
full_sample,2021,EXP_BOOKS_EXPENDITURE,5409,0,0,279.9963024588649,0,720.858349706345,0,12500
full_sample,2021,EXP_CARE_EXPENDITURE,5409,0,0,566.8330560177482,0,4068.2075257181095,0,100000
full_sample,2021,EXP_CLEANING_EXPENDITURE,5409,0,0,75.42983915696063,0,1195.2294091666984,0,25000
full_sample,2021,EXP_CLOTHING_EXPENDITURE,5409,0,0,1630.9853947125162,500,2623.324586768767,0,55000
